 freq            v(vout_RF_filt_spec_db)
 2.16822343e+07 -8.17331909e+01 
 2.18068449e+07 -7.43321166e+01 
 2.19314554e+07 -6.95532168e+01 
 2.20560659e+07 -7.72071871e+01 
 2.21806765e+07 -7.83212831e+01 
 2.23052870e+07 -6.80131737e+01 
 2.24298976e+07 -6.37739882e+01 
 2.25545081e+07 -8.43050146e+01 
 2.26791187e+07 -6.99432836e+01 
 2.28037292e+07 -7.73615052e+01 
 2.29283397e+07 -8.61834733e+01 
 2.30529503e+07 -7.72455804e+01 
 2.31775608e+07 -7.08407876e+01 
 2.33021714e+07 -6.77252887e+01 
 2.34267819e+07 -6.90031320e+01 
 2.35513924e+07 -8.88332748e+01 
 2.36760030e+07 -7.68105158e+01 
 2.38006135e+07 -7.05680100e+01 
 2.39252241e+07 -6.41976572e+01 
 2.40498346e+07 -6.89993436e+01 
 2.41744452e+07 -9.45279980e+01 
 2.42990557e+07 -6.20605652e+01 
 2.44236662e+07 -5.88454079e+01 
 2.45482768e+07 -6.96022951e+01 
 2.46728873e+07 -7.48044089e+01 
 2.47974979e+07 -6.36035078e+01 
 2.49221084e+07 -5.91862048e+01 
 2.50467190e+07 -7.04019982e+01 
 2.51713295e+07 -7.34742014e+01 
 2.52959400e+07 -6.19251101e+01 
 2.54205506e+07 -5.89035815e+01 
 2.55451611e+07 -6.42089601e+01 
 2.56697717e+07 -6.59142136e+01 
 2.57943822e+07 -5.95021032e+01 
 2.59189927e+07 -5.79556729e+01 
 2.60436033e+07 -6.62008381e+01 
 2.61682138e+07 -6.43588040e+01 
 2.62928244e+07 -5.11031618e+01 
 2.64174349e+07 -4.82198482e+01 
 2.65420455e+07 -5.59276178e+01 
 2.66666560e+07 -5.97635018e+01 
 2.67912665e+07 -4.19051896e+01 
 2.69158771e+07 -3.73919873e+01 
 2.70404876e+07 -4.81873227e+01 
 2.71650982e+07 -4.83878944e+01 
 2.72897087e+07 -2.78007655e+01 
 2.74143193e+07 -2.34352657e+01 
 2.75389298e+07 -3.60418356e+01 
 2.76635403e+07 -2.69169646e+01 
 2.77881509e+07 -3.52800212e+00 
 2.79127614e+07  1.24216968e-06 
 2.80373720e+07 -8.80822114e+00 
 2.81619825e+07 -3.19082637e+01 
 2.82865930e+07 -3.68191058e+01 
 2.84112036e+07 -3.28524636e+01 
 2.85358141e+07 -4.17289835e+01 
 2.86604247e+07 -5.74760162e+01 
 2.87850352e+07 -4.69160947e+01 
 2.89096458e+07 -4.23059588e+01 
 2.90342563e+07 -5.16372485e+01 
 2.91588668e+07 -7.13507996e+01 
 2.92834774e+07 -5.23329969e+01 
 2.94080879e+07 -4.86141709e+01 
 2.95326985e+07 -5.63990862e+01 
 2.96573090e+07 -6.10364465e+01 
 2.97819196e+07 -5.97115624e+01 
 2.99065301e+07 -6.08876813e+01 
 3.00311406e+07 -6.27760246e+01 
 3.01557512e+07 -6.39497061e+01 
 3.02803617e+07 -5.99876174e+01 
 3.04049723e+07 -5.94790433e+01 
 3.05295828e+07 -6.45100667e+01 
 3.06541933e+07 -7.38569212e+01 
 3.07788039e+07 -6.51760545e+01 
 3.09034144e+07 -6.20061803e+01 
 3.10280250e+07 -7.42374783e+01 
 3.11526355e+07 -8.51460039e+01 
 3.12772461e+07 -6.45029397e+01 
 3.14018566e+07 -5.95244470e+01 
 3.15264671e+07 -6.35698561e+01 
 3.16510777e+07 -7.14130926e+01 
 3.17756882e+07 -6.96208149e+01 
 3.19002988e+07 -6.68795299e+01 
 3.20249093e+07 -7.52341846e+01 
 3.21495199e+07 -7.83069273e+01 
 3.22741304e+07 -7.45034259e+01 
 3.23987409e+07 -7.22926606e+01 
 3.25233515e+07 -8.55929801e+01 
 3.26479620e+07 -7.49669520e+01 
 3.27725726e+07 -8.43557390e+01 
 3.28971831e+07 -7.39318685e+01 
 3.30217936e+07 -7.82158241e+01 
 3.31464042e+07 -7.91106196e+01 
 3.32710147e+07 -6.73952788e+01 
 3.33956253e+07 -6.36939456e+01 
 3.35202358e+07 -6.86506600e+01 
 3.36448464e+07 -7.46673551e+01 
 3.37694569e+07 -7.55235756e+01 
 3.38940674e+07 -6.85399434e+01 
 3.40186780e+07 -7.02960068e+01 
 3.41432885e+07 -7.24184300e+01 
 3.42678991e+07 -7.11005436e+01 
 3.43925096e+07 -7.06369622e+01 
 3.45171201e+07 -7.29966830e+01 
 3.46417307e+07 -7.18961751e+01 
 3.47663412e+07 -6.69861731e+01 
 3.48909518e+07 -6.59731598e+01 
 3.50155623e+07 -7.73159164e+01 
 3.51401729e+07 -8.50988659e+01 
 3.52647834e+07 -7.77474936e+01 
 3.53893939e+07 -7.43703081e+01 
 3.55140045e+07 -7.84352975e+01 
 3.56386150e+07 -7.75800174e+01 
 3.57632256e+07 -7.35909379e+01 
 3.58878361e+07 -7.44321573e+01 
 3.60124467e+07 -7.08769220e+01 
 3.61370572e+07 -6.92169051e+01 
 3.62616677e+07 -7.36461522e+01 
 3.63862783e+07 -7.56857515e+01 
 3.65108888e+07 -7.33536030e+01 
 3.66354994e+07 -7.29641599e+01 
 3.67601099e+07 -8.28928732e+01 
 3.68847204e+07 -7.21454021e+01 
 3.70093310e+07 -7.18826200e+01 
 3.71339415e+07 -7.20490725e+01 
 3.72585521e+07 -7.93717159e+01 
 3.73831626e+07 -8.08133699e+01 
 3.75077732e+07 -7.86743474e+01 
 3.76323837e+07 -7.71481952e+01 
 3.77569942e+07 -7.86451884e+01 
 3.78816048e+07 -9.46545433e+01 
 3.80062153e+07 -7.77861817e+01 
 3.81308259e+07 -7.76322424e+01 
 3.82554364e+07 -7.60223517e+01 
 3.83800470e+07 -7.16177589e+01 
 3.85046575e+07 -7.30151559e+01 
 3.86292680e+07 -7.25090178e+01 
 3.87538786e+07 -7.95946689e+01 
 3.88784891e+07 -8.51517354e+01 
 3.90030997e+07 -8.30981225e+01 
 3.91277102e+07 -7.68736965e+01 
 3.92523207e+07 -8.06780856e+01 
 3.93769313e+07 -9.04400630e+01 
 3.95015418e+07 -7.93035481e+01 
 3.96261524e+07 -7.85854212e+01 
 3.97507629e+07 -8.81090391e+01 
 3.98753735e+07 -8.10254577e+01 
 3.99999840e+07 -7.92527067e+01 
