 frequency       v(Tmb_dB)       v(Tmb_arg)     
 1.02305973e+01 -2.77652232e+02 -1.82681010e-05 
 1.04665121e+01 -2.77725893e+02 -3.59872605e-06 
 1.07078670e+01 -2.77785118e+02 -8.60448682e-05 
 1.09547876e+01 -2.77700323e+02 -2.17371516e-05 
 1.12074020e+01 -2.77697058e+02 -1.75305921e-05 
 1.14658417e+01 -2.77731720e+02 -7.10007310e-05 
 1.17302409e+01 -2.77676169e+02 -6.59635608e-05 
 1.20007371e+01 -2.77709468e+02  4.59744901e-06 
 1.22774708e+01 -2.77789219e+02 -9.24348607e-06 
 1.25605860e+01 -2.77861912e+02  2.43294266e-05 
 1.28502297e+01 -2.77819504e+02 -5.54530064e-05 
 1.31465525e+01 -2.77684244e+02 -1.53284048e-06 
 1.34497085e+01 -2.77654267e+02 -4.89298991e-05 
 1.37598551e+01 -2.77778015e+02 -1.25090039e-05 
 1.40771537e+01 -2.77773723e+02 -1.62577866e-05 
 1.44017690e+01 -2.77719287e+02 -5.80506086e-05 
 1.47338699e+01 -2.77710718e+02 -4.75603243e-05 
 1.50736290e+01 -2.77660677e+02 -7.37352209e-05 
 1.54212228e+01 -2.77693056e+02 -7.48361970e-05 
 1.57768320e+01 -2.77802493e+02  2.66884804e-06 
 1.61406415e+01 -2.77672122e+02 -4.43723984e-05 
 1.65128404e+01 -2.77776949e+02 -4.75117093e-05 
 1.68936220e+01 -2.77681260e+02 -6.63699946e-05 
 1.72831844e+01 -2.77739865e+02 -5.56862898e-05 
 1.76817299e+01 -2.77718687e+02 -2.01538634e-05 
 1.80894658e+01 -2.77743867e+02 -8.74620389e-05 
 1.85066040e+01 -2.77684369e+02 -3.96486525e-05 
 1.89333613e+01 -2.77630161e+02 -7.71141412e-05 
 1.93699595e+01 -2.77696175e+02 -1.77903710e-06 
 1.98166255e+01 -2.77744907e+02 -3.32770452e-05 
 2.02735916e+01 -2.77737807e+02 -5.41237293e-05 
 2.07410951e+01 -2.77683065e+02 -4.48887953e-05 
 2.12193792e+01 -2.77754772e+02 -5.67090622e-05 
 2.17086923e+01 -2.77647964e+02 -1.25982696e-04 
 2.22092889e+01 -2.77713632e+02 -9.61860487e-05 
 2.27214291e+01 -2.77739804e+02  1.85393262e-05 
 2.32453791e+01 -2.77764742e+02 -7.63373042e-06 
 2.37814113e+01 -2.77661578e+02 -5.63851041e-05 
 2.43298042e+01 -2.77698591e+02 -1.33587524e-04 
 2.48908429e+01 -2.77739495e+02 -9.23971462e-05 
 2.54648190e+01 -2.77733034e+02 -6.64842995e-05 
 2.60520309e+01 -2.77775040e+02 -5.51385574e-05 
 2.66527837e+01 -2.77584926e+02 -8.00832881e-05 
 2.72673897e+01 -2.77643322e+02 -1.34722360e-04 
 2.78961683e+01 -2.77627040e+02 -1.64063704e-04 
 2.85394464e+01 -2.77706911e+02 -1.09342966e-04 
 2.91975583e+01 -2.77751796e+02  7.31619630e-06 
 2.98708461e+01 -2.77668899e+02 -1.33119853e-04 
 3.05596598e+01 -2.77825143e+02 -2.06415438e-05 
 3.12643573e+01 -2.77768507e+02 -8.25112955e-05 
 3.19853049e+01 -2.77713709e+02 -1.65843005e-04 
 3.27228774e+01 -2.77798772e+02 -8.81799748e-05 
 3.34774581e+01 -2.77685883e+02  7.40738939e-06 
 3.42494392e+01 -2.77757955e+02 -2.13936426e-04 
 3.50392221e+01 -2.77778251e+02 -7.43236011e-05 
 3.58472171e+01 -2.77652977e+02 -1.31627405e-04 
 3.66738442e+01 -2.77710353e+02 -3.84829153e-05 
 3.75195331e+01 -2.77737434e+02 -4.48163708e-05 
 3.83847234e+01 -2.77772686e+02 -1.50779689e-04 
 3.92698648e+01 -2.77687654e+02 -3.63359499e-05 
 4.01754173e+01 -2.77724528e+02 -1.25648424e-05 
 4.11018515e+01 -2.77666536e+02 -9.35260496e-05 
 4.20496491e+01 -2.77740534e+02 -3.62382316e-05 
 4.30193027e+01 -2.77724306e+02 -1.20914360e-04 
 4.40113162e+01 -2.77717388e+02 -1.10158396e-04 
 4.50262052e+01 -2.77640415e+02 -1.88535509e-04 
 4.60644974e+01 -2.77669760e+02 -1.28338771e-04 
 4.71267322e+01 -2.77719072e+02 -1.22160106e-04 
 4.82134619e+01 -2.77694715e+02 -1.72767400e-04 
 4.93252513e+01 -2.77696690e+02 -1.98968022e-04 
 5.04626783e+01 -2.77663981e+02  2.78090750e-05 
 5.16263340e+01 -2.77700726e+02 -6.25024034e-05 
 5.28168234e+01 -2.77768287e+02 -9.25969099e-05 
 5.40347650e+01 -2.77564654e+02 -1.48105475e-04 
 5.52807921e+01 -2.77704053e+02 -1.60832642e-04 
 5.65555523e+01 -2.77790596e+02  9.02048007e-05 
 5.78597080e+01 -2.77693055e+02  1.70851780e-05 
 5.91939372e+01 -2.77717926e+02 -1.15140912e-04 
 6.05589334e+01 -2.77657120e+02 -6.92261414e-05 
 6.19554061e+01 -2.77721645e+02 -3.38487829e-04 
 6.33840810e+01 -2.77765270e+02 -2.55938731e-04 
 6.48457008e+01 -2.77665891e+02  3.00895213e-05 
 6.63410251e+01 -2.77774523e+02 -1.20203077e-04 
 6.78708313e+01 -2.77669460e+02 -2.57061183e-04 
 6.94359143e+01 -2.77737867e+02 -1.21033770e-04 
 7.10370877e+01 -2.77680016e+02 -1.54535292e-04 
 7.26751838e+01 -2.77630141e+02 -1.20041301e-04 
 7.43510539e+01 -2.77684476e+02 -1.07045253e-04 
 7.60655691e+01 -2.77704142e+02 -3.28365783e-04 
 7.78196206e+01 -2.77765654e+02 -1.25559134e-05 
 7.96141200e+01 -2.77667195e+02 -9.16969900e-05 
 8.14500001e+01 -2.77810769e+02 -2.28832123e-05 
 8.33282151e+01 -2.77654134e+02 -3.71701313e-04 
 8.52497412e+01 -2.77740105e+02 -3.09627841e-04 
 8.72155772e+01 -2.77705708e+02 -4.52504185e-04 
 8.92267449e+01 -2.77728662e+02 -3.82856889e-05 
 9.12842895e+01 -2.77645165e+02 -2.79769320e-04 
 9.33892805e+01 -2.77766563e+02 -3.37992442e-04 
 9.55428121e+01 -2.77721762e+02 -4.43442569e-04 
 9.77460036e+01 -2.77839447e+02 -1.65805342e-04 
 1.00000000e+02 -2.77883244e+02 -1.37036034e-04 
 1.02305973e+02 -2.77847919e+02 -2.13916947e-05 
 1.04665121e+02 -2.77831860e+02 -2.47179211e-04 
 1.07078670e+02 -2.77663667e+02 -3.85320409e-04 
 1.09547876e+02 -2.77752769e+02  2.27932926e-04 
 1.12074020e+02 -2.77667426e+02 -2.63244518e-04 
 1.14658417e+02 -2.77745798e+02 -4.71812618e-04 
 1.17302409e+02 -2.77815291e+02 -4.36920960e-04 
 1.20007371e+02 -2.77769801e+02 -5.20993597e-04 
 1.22774708e+02 -2.77822204e+02 -2.25403031e-04 
 1.25605860e+02 -2.77769794e+02 -1.20915100e-04 
 1.28502297e+02 -2.77697172e+02 -8.07640301e-04 
 1.31465525e+02 -2.77800432e+02 -3.09989257e-04 
 1.34497085e+02 -2.77823343e+02 -3.17893268e-04 
 1.37598551e+02 -2.77855768e+02 -9.61649364e-06 
 1.40771537e+02 -2.77848203e+02 -1.06769984e-04 
 1.44017690e+02 -2.77841877e+02 -2.75832702e-04 
 1.47338699e+02 -2.77805789e+02 -1.83929146e-05 
 1.50736290e+02 -2.77726484e+02 -4.64983236e-05 
