frequency,Aol_dB,Aol_arg
4.301930269999999779e-02,7.660864820000000464e+01,-3.628804029999999764e-02
4.502620520000000237e-02,7.660864809999999636e+01,-3.798092079999999815e-02
4.712673220000000024e-02,7.660864789999999402e+01,-3.975277619999999928e-02
4.932525129999999758e-02,7.660864770000000590e+01,-4.160729070000000057e-02
5.162633400000000289e-02,7.660864750000000356e+01,-4.354832050000000121e-02
5.403476499999999849e-02,7.660864719999999295e+01,-4.557990149999999879e-02
5.655555229999999906e-02,7.660864700000000482e+01,-4.770625819999999712e-02
5.919393719999999776e-02,7.660864669999999421e+01,-4.993181180000000330e-02
6.195540609999999893e-02,7.660864639999999781e+01,-5.226118999999999903e-02
6.484570080000000292e-02,7.660864599999999314e+01,-5.469923639999999671e-02
6.787083130000000353e-02,7.660864560000000267e+01,-5.725102029999999675e-02
7.103708770000000117e-02,7.660864519999999800e+01,-5.992184779999999711e-02
7.435105390000000536e-02,7.660864479999999332e+01,-6.271727239999999592e-02
7.781962060000000014e-02,7.660864429999999459e+01,-6.564310660000000075e-02
8.145000010000000290e-02,7.660864370000000179e+01,-6.870543410000000406e-02
8.524974120000000655e-02,7.660864309999999477e+01,-7.191062249999999323e-02
8.922674490000000180e-02,7.660864250000000197e+01,-7.526533639999999359e-02
9.338928050000000480e-02,7.660864180000000090e+01,-7.877655120000000288e-02
9.774600360000000598e-02,7.660864100000000576e+01,-8.245156770000000579e-02
1.023059729999999945e-01,7.660864010000000235e+01,-8.629802749999999911e-02
1.070786700000000008e-01,7.660863919999999894e+01,-9.032392849999999751e-02
1.120740199999999964e-01,7.660863820000000146e+01,-9.453764159999999972e-02
1.173024089999999964e-01,7.660863700000000165e+01,-9.894792850000000417e-02
1.227747079999999963e-01,7.660863580000000184e+01,-1.035639589999999971e-01
1.285022969999999876e-01,7.660863439999999969e+01,-1.083953319999999970e-01
1.344970849999999885e-01,7.660863299999999754e+01,-1.134520930000000039e-01
1.407715370000000021e-01,7.660863129999999899e+01,-1.187447560000000069e-01
1.473386989999999896e-01,7.660862960000000044e+01,-1.242843250000000010e-01
1.542122280000000067e-01,7.660862760000000549e+01,-1.300823200000000013e-01
1.614064149999999975e-01,7.660862550000000226e+01,-1.361507959999999906e-01
1.689362199999999981e-01,7.660862310000000264e+01,-1.425023689999999899e-01
1.768172990000000111e-01,7.660862059999999474e+01,-1.491502480000000130e-01
1.850660399999999872e-01,7.660861780000000465e+01,-1.561082540000000018e-01
1.936995950000000022e-01,7.660861470000000395e+01,-1.633908550000000015e-01
2.027359159999999882e-01,7.660861130000000685e+01,-1.710131910000000088e-01
2.121937919999999922e-01,7.660860759999999914e+01,-1.789911130000000072e-01
2.220928889999999878e-01,7.660860350000000096e+01,-1.873412070000000096e-01
2.324537909999999930e-01,7.660859910000000639e+01,-1.960808340000000094e-01
2.432980419999999921e-01,7.660859429999999293e+01,-2.052281659999999897e-01
2.546481899999999965e-01,7.660858899999999494e+01,-2.148022229999999866e-01
2.665278369999999897e-01,7.660858319999999821e+01,-2.248229059999999890e-01
2.789616830000000158e-01,7.660857679999999448e+01,-2.353110509999999933e-01
2.919755829999999830e-01,7.660856979999999794e+01,-2.462884640000000125e-01
3.055965979999999971e-01,7.660856210000000033e+01,-2.577779680000000240e-01
3.198530490000000004e-01,7.660855370000000164e+01,-2.698034489999999730e-01
3.347745810000000155e-01,7.660854449999999360e+01,-2.823899060000000238e-01
3.503922210000000037e-01,7.660853450000000464e+01,-2.955635090000000020e-01
3.667384419999999978e-01,7.660852350000000399e+01,-3.093516439999999812e-01
3.838472339999999816e-01,7.660851139999999759e+01,-3.237829740000000012e-01
4.017541729999999922e-01,7.660849819999999966e+01,-3.388874980000000092e-01
4.204964909999999723e-01,7.660848369999999363e+01,-3.546966140000000212e-01
4.401131620000000022e-01,7.660846779999999967e+01,-3.712431889999999735e-01
4.606449739999999848e-01,7.660845050000000356e+01,-3.885616170000000258e-01
4.821346189999999865e-01,7.660843140000000062e+01,-4.066878919999999953e-01
5.046267829999999677e-01,7.660841050000000507e+01,-4.256596930000000056e-01
5.281682340000000142e-01,7.660838769999999442e+01,-4.455164529999999790e-01
5.528079209999999799e-01,7.660836260000000664e+01,-4.662994389999999822e-01
5.785970799999999858e-01,7.660833519999999908e+01,-4.880518449999999842e-01
6.055893340000000347e-01,7.660830520000000377e+01,-5.108188809999999469e-01
6.338408100000000323e-01,7.660827229999999588e+01,-5.346478510000000073e-01
6.634102509999999508e-01,7.660823619999999323e+01,-5.595882709999999705e-01
6.943591430000000120e-01,7.660819669999999348e+01,-5.856919649999999811e-01
7.267518379999999834e-01,7.660815350000000024e+01,-6.130131730000000223e-01
7.606556909999999672e-01,7.660810610000000054e+01,-6.416086469999999764e-01
7.961411999999999933e-01,7.660805410000000393e+01,-6.715377900000000233e-01
8.332821510000000265e-01,7.660799719999999979e+01,-7.028627739999999680e-01
8.721557720000000513e-01,7.660793499999999767e+01,-7.356486620000000087e-01
