time_us,vout
7.637140000000025575e-02,4.225281499999999912e-02
7.642690000000040840e-02,4.228437129999999822e-02
7.653810000000059455e-02,4.234748490000000282e-02
7.676040000000103336e-02,4.247371600000000164e-02
7.707740000000153080e-02,4.265374689999999747e-02
7.727830000000142363e-02,4.276782839999999919e-02
7.743390000000004159e-02,4.285618270000000202e-02
7.760530000000091799e-02,4.295353980000000266e-02
7.776330000000146458e-02,4.304327869999999973e-02
7.807930000000086468e-02,4.322276060000000003e-02
7.845800000000113794e-02,4.343780939999999924e-02
7.902480000000060290e-02,4.375977980000000239e-02
7.982560000000017697e-02,4.421457260000000167e-02
8.141030000000112898e-02,4.511455300000000168e-02
8.325080000000079083e-02,4.615960289999999910e-02
8.325180000000018121e-02,4.616017060000000144e-02
8.325380000000066893e-02,4.616130599999999917e-02
8.325779999999992353e-02,4.616357680000000158e-02
8.326080000000149473e-02,4.616527990000000164e-02
8.326160000000100425e-02,4.616573410000000127e-02
8.326320000000003718e-02,4.616664239999999919e-02
8.326640000000147535e-02,4.616845900000000197e-02
8.327280000000097937e-02,4.617209230000000192e-02
8.328559999999997354e-02,4.617935890000000182e-02
8.331120000000136194e-02,4.619389200000000029e-02
8.336240000000073869e-02,4.622295779999999882e-02
8.346480000000119914e-02,4.628108849999999774e-02
8.366960000000041309e-02,4.639734560000000063e-02
8.407920000000053407e-02,4.662984190000000334e-02
8.489840000000078990e-02,4.709475810000000179e-02
8.510780000000059409e-02,4.721358090000000313e-02
8.515780000000069960e-02,4.724195190000000238e-02
8.517420000000090752e-02,4.725124850000000237e-02
8.520700000000129559e-02,4.726984149999999968e-02
8.527250000000045904e-02,4.730702700000000149e-02
8.540360000000041252e-02,4.738139589999999790e-02
8.566570000000038598e-02,4.753012489999999812e-02
8.619000000000026640e-02,4.782754689999999670e-02
8.723860000000004111e-02,4.842224149999999755e-02
8.933580000000125587e-02,4.961101119999999920e-02
9.216940000000053979e-02,5.121596219999999949e-02
9.217039999999993016e-02,5.121652830000000128e-02
9.217240000000040401e-02,5.121766059999999926e-02
9.217640000000136558e-02,5.121992510000000082e-02
9.217940000000122980e-02,5.122162350000000058e-02
9.218020000000075320e-02,5.122207630000000234e-02
9.218180000000146535e-02,5.122298210000000157e-02
9.218500000000122430e-02,5.122479370000000004e-02
9.219140000000071444e-02,5.122841689999999698e-02
9.220420000000141558e-02,5.123566320000000340e-02
9.222980000000109702e-02,5.125015580000000237e-02
9.228100000000047376e-02,5.127914050000000057e-02
9.238340000000093422e-02,5.133710849999999909e-02
9.258820000000014816e-02,5.145303870000000196e-02
