time_us,dsm
0.000000000000000000e+00,1.480462079999999903e+00
1.739999999959091978e-05,1.454411520000000069e+00
5.210000000052759234e-05,1.402310399999999957e+00
1.216000000006461045e-04,1.298108159999999955e+00
2.605000000009438958e-04,1.089703679999999952e+00
5.383999999997846455e-04,6.728947229999999724e-01
8.223000000000615668e-04,2.470638480000000026e-01
1.006599999999876257e-03,-0.000000000000000000e+00
1.165999999999575145e-03,-0.000000000000000000e+00
1.335999999999609202e-03,-0.000000000000000000e+00
1.493800000000280364e-03,-0.000000000000000000e+00
1.809599999999807196e-03,-0.000000000000000000e+00
2.191699999999703347e-03,-0.000000000000000000e+00
2.767100000000720979e-03,-0.000000000000000000e+00
3.585100000000007291e-03,-0.000000000000000000e+00
5.215700000000167598e-03,-0.000000000000000000e+00
6.968500000000609623e-03,-0.000000000000000000e+00
6.969500000000001735e-03,-0.000000000000000000e+00
6.971500000000480785e-03,-0.000000000000000000e+00
6.975499999999744058e-03,-0.000000000000000000e+00
6.978499999999615219e-03,-0.000000000000000000e+00
6.979300000000823040e-03,-0.000000000000000000e+00
6.980899999999850766e-03,-0.000000000000000000e+00
6.984099999999600177e-03,-0.000000000000000000e+00
6.990500000000792954e-03,-0.000000000000000000e+00
7.003299999999791463e-03,-0.000000000000000000e+00
7.028899999999481570e-03,-0.000000000000000000e+00
7.080100000000555741e-03,-0.000000000000000000e+00
7.182499999999317035e-03,-0.000000000000000000e+00
7.387300000000226671e-03,-0.000000000000000000e+00
7.796900000000351987e-03,-0.000000000000000000e+00
8.616100000000603484e-03,-0.000000000000000000e+00
8.825500000000412876e-03,-0.000000000000000000e+00
8.875500000000521861e-03,-0.000000000000000000e+00
8.891900000000721102e-03,-0.000000000000000000e+00
8.924699999999423025e-03,-0.000000000000000000e+00
8.990200000000277830e-03,-0.000000000000000000e+00
9.121300000000234776e-03,-0.000000000000000000e+00
9.383400000000204771e-03,-0.000000000000000000e+00
9.907700000000088658e-03,-0.000000000000000000e+00
1.095629999999985296e-02,-0.000000000000000000e+00
1.305349999999938330e-02,-0.000000000000000000e+00
1.588710000000035164e-02,-0.000000000000000000e+00
1.588809999999974548e-02,-0.000000000000000000e+00
1.589010000000022280e-02,-0.000000000000000000e+00
1.589409999999948434e-02,-0.000000000000000000e+00
1.589709999999935550e-02,-0.000000000000000000e+00
1.589790000000056505e-02,-0.000000000000000000e+00
1.589949999999959104e-02,-0.000000000000000000e+00
1.590269999999934306e-02,-0.000000000000000000e+00
1.590910000000053670e-02,-0.000000000000000000e+00
1.592189999999953434e-02,-0.000000000000000000e+00
1.594750000000091927e-02,-0.000000000000000000e+00
1.599870000000029949e-02,-0.000000000000000000e+00
1.610110000000075300e-02,-0.000000000000000000e+00
1.630589999999997042e-02,-0.000000000000000000e+00
1.671550000000009487e-02,-0.000000000000000000e+00
1.744409999999949751e-02,-0.000000000000000000e+00
1.752600000000055155e-02,-0.000000000000000000e+00
1.768990000000090351e-02,-0.000000000000000000e+00
1.769410000000004590e-02,-0.000000000000000000e+00
1.770259999999996073e-02,-0.000000000000000000e+00
1.771959999999979385e-02,-0.000000000000000000e+00
1.774410000000015489e-02,-0.000000000000000000e+00
1.774749999999978081e-02,-0.000000000000000000e+00
1.775430000000073269e-02,-0.000000000000000000e+00
1.776790000000093989e-02,-0.000000000000000000e+00
1.779499999999971729e-02,-0.000000000000000000e+00
1.784410000000037286e-02,-0.000000000000000000e+00
1.784950000000047957e-02,-0.000000000000000000e+00
1.786040000000063341e-02,-0.000000000000000000e+00
1.788209999999930411e-02,-0.000000000000000000e+00
1.789410000000048184e-02,-0.000000000000000000e+00
1.789849999999950508e-02,-0.000000000000000000e+00
1.790709999999936033e-02,-0.000000000000000000e+00
1.792450000000064478e-02,-0.000000000000000000e+00
1.795919999999988706e-02,-0.000000000000000000e+00
1.802870000000000514e-02,-0.000000000000000000e+00
1.816760000000030434e-02,-0.000000000000000000e+00
1.844550000000083970e-02,-0.000000000000000000e+00
1.900130000000021385e-02,-0.000000000000000000e+00
2.011280000000071830e-02,-0.000000000000000000e+00
2.233570000000009714e-02,-0.000000000000000000e+00
2.482569999999979793e-02,-0.000000000000000000e+00
2.482670000000088487e-02,-0.000000000000000000e+00
2.482869999999966909e-02,-0.000000000000000000e+00
2.483270000000062719e-02,-0.000000000000000000e+00
2.483570000000049835e-02,-0.000000000000000000e+00
2.483650000000001135e-02,-0.000000000000000000e+00
2.483810000000073390e-02,-0.000000000000000000e+00
2.484130000000048244e-02,-0.000000000000000000e+00
2.484769999999998299e-02,-0.000000000000000000e+00
2.486050000000067373e-02,-0.000000000000000000e+00
2.488610000000036557e-02,-0.000000000000000000e+00
2.493729999999974578e-02,-0.000000000000000000e+00
2.503970000000019930e-02,-0.000000000000000000e+00
2.524449999999941671e-02,-0.000000000000000000e+00
2.565409999999954116e-02,-0.000000000000000000e+00
2.647329999999979352e-02,-0.000000000000000000e+00
2.663269999999949220e-02,-0.000000000000000000e+00
2.668269999999960118e-02,-0.000000000000000000e+00
2.669909999999979869e-02,-0.000000000000000000e+00
2.673180000000025675e-02,-0.000000000000000000e+00
2.679739999999935715e-02,-0.000000000000000000e+00
2.692839999999937367e-02,-0.000000000000000000e+00
2.719059999999928409e-02,-0.000000000000000000e+00
2.771490000000086107e-02,-0.000000000000000000e+00
2.876350000000062537e-02,-0.000000000000000000e+00
3.086060000000021702e-02,-0.000000000000000000e+00
3.374429999999953994e-02,-0.000000000000000000e+00
3.374530000000063035e-02,-0.000000000000000000e+00
3.374729999999941110e-02,-0.000000000000000000e+00
3.375130000000037267e-02,-0.000000000000000000e+00
3.375430000000023689e-02,-0.000000000000000000e+00
3.375509999999975336e-02,-0.000000000000000000e+00
3.375670000000047244e-02,-0.000000000000000000e+00
3.375990000000022445e-02,-0.000000000000000000e+00
3.376629999999972154e-02,-0.000000000000000000e+00
3.377910000000041574e-02,-0.000000000000000000e+00
3.380470000000010411e-02,-0.000000000000000000e+00
3.385589999999948779e-02,-0.000000000000000000e+00
3.395829999999994131e-02,-0.000000000000000000e+00
3.416310000000085528e-02,-0.000000000000000000e+00
3.457269999999928317e-02,-0.000000000000000000e+00
3.530130000000038237e-02,-0.000000000000000000e+00
3.538319999999973986e-02,-0.000000000000000000e+00
3.554700000000015486e-02,-0.000000000000000000e+00
3.555130000000093077e-02,-0.000000000000000000e+00
3.555970000000090864e-02,-0.000000000000000000e+00
3.557670000000073829e-02,-0.000000000000000000e+00
3.560129999999934319e-02,-0.000000000000000000e+00
3.560460000000072872e-02,-0.000000000000000000e+00
3.561139999999998057e-02,-0.000000000000000000e+00
3.562500000000019124e-02,-0.000000000000000000e+00
3.565129999999945565e-02,-0.000000000000000000e+00
3.565399999999950553e-02,-0.000000000000000000e+00
3.565939999999961224e-02,-0.000000000000000000e+00
3.567029999999976608e-02,-0.000000000000000000e+00
3.569200000000013334e-02,-0.000000000000000000e+00
3.570129999999956116e-02,-0.000000000000000000e+00
3.570560000000033707e-02,6.512639970000000215e-03
3.571430000000013621e-02,1.953791989999999895e-02
3.573159999999978714e-02,4.558847979999999800e-02
3.575129999999967362e-02,7.499999999999999722e-02
3.575469999999929954e-02,8.021011200000000008e-02
3.576170000000013227e-02,9.063033589999999751e-02
3.577560000000015034e-02,1.114707840000000033e-01
3.580340000000020034e-02,1.531516800000000122e-01
3.585890000000035299e-02,2.365134710000000029e-01
3.597010000000054608e-02,4.032370550000000109e-01
3.619239999999929180e-02,7.366842209999999724e-01
3.650939999999978230e-02,1.212223950000000050e+00
3.671029999999967514e-02,1.500000000000000000e+00
3.686589999999998618e-02,1.500000000000000000e+00
3.703730000000086259e-02,1.500000000000000000e+00
3.719529999999972303e-02,1.500000000000000000e+00
3.751130000000082315e-02,1.500000000000000000e+00
3.788999999999939639e-02,1.500000000000000000e+00
3.845680000000055443e-02,1.500000000000000000e+00
3.925760000000012850e-02,1.500000000000000000e+00
4.084219999999944700e-02,1.500000000000000000e+00
4.268280000000074237e-02,1.500000000000000000e+00
4.268380000000013275e-02,1.500000000000000000e+00
4.268580000000061353e-02,1.500000000000000000e+00
4.268979999999987507e-02,1.500000000000000000e+00
4.269279999999974623e-02,1.500000000000000000e+00
4.269359999999926270e-02,1.500000000000000000e+00
4.269519999999998178e-02,1.500000000000000000e+00
4.269839999999973379e-02,1.500000000000000000e+00
4.270480000000092397e-02,1.500000000000000000e+00
4.271759999999992508e-02,1.500000000000000000e+00
4.274319999999961345e-02,1.500000000000000000e+00
4.279440000000069022e-02,1.500000000000000000e+00
4.289679999999945065e-02,1.500000000000000000e+00
4.310160000000035768e-02,1.500000000000000000e+00
4.351120000000048560e-02,1.500000000000000000e+00
4.433040000000073450e-02,1.500000000000000000e+00
4.453980000000054562e-02,1.500000000000000000e+00
4.458980000000065808e-02,1.500000000000000000e+00
4.460620000000085211e-02,1.500000000000000000e+00
4.463899999999955404e-02,1.500000000000000000e+00
4.470450000000041058e-02,1.500000000000000000e+00
4.483560000000036405e-02,1.500000000000000000e+00
4.509770000000033752e-02,1.500000000000000000e+00
4.562200000000022487e-02,1.500000000000000000e+00
4.667059999999998571e-02,1.500000000000000000e+00
4.876769999999957389e-02,1.500000000000000000e+00
5.160140000000048438e-02,1.500000000000000000e+00
5.195850000000032387e-02,1.500000000000000000e+00
5.267279999999995022e-02,1.500000000000000000e+00
5.350850000000033357e-02,1.500000000000000000e+00
5.365139999999989778e-02,1.500000000000000000e+00
5.375850000000088197e-02,1.500000000000000000e+00
5.378710000000044844e-02,1.500000000000000000e+00
5.380849999999930133e-02,1.500000000000000000e+00
5.381430000000085589e-02,1.500000000000000000e+00
5.382570000000070493e-02,1.500000000000000000e+00
5.384850000000040299e-02,1.500000000000000000e+00
5.385849999999940685e-02,1.500000000000000000e+00
5.386310000000000403e-02,1.500000000000000000e+00
5.387229999999949143e-02,1.500000000000000000e+00
5.389050000000029234e-02,1.500000000000000000e+00
5.390849999999951930e-02,1.500000000000000000e+00
5.391220000000065959e-02,1.494514279999999973e+00
5.391949999999961357e-02,1.483542850000000080e+00
5.393410000000090077e-02,1.461599979999999910e+00
5.396340000000003634e-02,1.417714249999999954e+00
5.402190000000006709e-02,1.329942790000000041e+00
5.413890000000012165e-02,1.154399860000000055e+00
5.437300000000016426e-02,8.033140069999999966e-01
5.465670000000056455e-02,3.778101489999999840e-01
5.487839999999967466e-02,4.519730870000000095e-02
5.503290000000065491e-02,-0.000000000000000000e+00
5.521519999999999206e-02,-0.000000000000000000e+00
5.538110000000082134e-02,-0.000000000000000000e+00
5.567029999999957568e-02,-0.000000000000000000e+00
5.605930000000036023e-02,-0.000000000000000000e+00
5.657170000000069643e-02,-0.000000000000000000e+00
5.735280000000038403e-02,-0.000000000000000000e+00
5.872720000000037494e-02,-0.000000000000000000e+00
6.053999999999993414e-02,-0.000000000000000000e+00
6.054099999999932452e-02,-0.000000000000000000e+00
6.054299999999980531e-02,-0.000000000000000000e+00
6.054700000000075993e-02,-0.000000000000000000e+00
6.055000000000063110e-02,-0.000000000000000000e+00
6.055080000000014756e-02,-0.000000000000000000e+00
6.055240000000086664e-02,-0.000000000000000000e+00
6.055560000000061865e-02,-0.000000000000000000e+00
6.056200000000011574e-02,-0.000000000000000000e+00
6.057480000000080994e-02,-0.000000000000000000e+00
6.060040000000049831e-02,-0.000000000000000000e+00
6.065159999999987506e-02,-0.000000000000000000e+00
6.075400000000033551e-02,-0.000000000000000000e+00
6.095879999999954946e-02,-0.000000000000000000e+00
6.136839999999967737e-02,-0.000000000000000000e+00
6.218759999999992627e-02,-0.000000000000000000e+00
6.234699999999962494e-02,-0.000000000000000000e+00
6.239699999999973740e-02,-0.000000000000000000e+00
6.241339999999993143e-02,-0.000000000000000000e+00
6.244610000000039296e-02,-0.000000000000000000e+00
6.251169999999948990e-02,-0.000000000000000000e+00
6.264269999999950989e-02,-0.000000000000000000e+00
6.290489999999941684e-02,-0.000000000000000000e+00
6.342919999999929725e-02,-0.000000000000000000e+00
6.447770000000081769e-02,-0.000000000000000000e+00
6.657490000000035324e-02,-0.000000000000000000e+00
6.945849999999972879e-02,-0.000000000000000000e+00
6.945950000000082614e-02,-0.000000000000000000e+00
6.946149999999960689e-02,-0.000000000000000000e+00
6.946550000000056846e-02,-0.000000000000000000e+00
6.946850000000043268e-02,-0.000000000000000000e+00
6.946929999999994221e-02,-0.000000000000000000e+00
6.947090000000066823e-02,-0.000000000000000000e+00
6.947410000000041330e-02,-0.000000000000000000e+00
6.948049999999991733e-02,-0.000000000000000000e+00
6.949330000000060459e-02,-0.000000000000000000e+00
6.951890000000029990e-02,-0.000000000000000000e+00
6.957009999999967664e-02,-0.000000000000000000e+00
6.967250000000013710e-02,-0.000000000000000000e+00
6.987729999999935104e-02,-0.000000000000000000e+00
7.028689999999947202e-02,-0.000000000000000000e+00
7.101550000000057816e-02,-0.000000000000000000e+00
7.109749999999986914e-02,-0.000000000000000000e+00
7.126130000000029108e-02,-0.000000000000000000e+00
7.126549999999942653e-02,-0.000000000000000000e+00
7.127399999999935176e-02,-0.000000000000000000e+00
7.129100000000086756e-02,-0.000000000000000000e+00
7.131549999999953204e-02,-0.000000000000000000e+00
7.131890000000086494e-02,-0.000000000000000000e+00
7.132570000000011678e-02,-0.000000000000000000e+00
7.133930000000032745e-02,-0.000000000000000000e+00
7.136640000000080142e-02,-0.000000000000000000e+00
7.141549999999975695e-02,-0.000000000000000000e+00
7.142099999999980409e-02,-0.000000000000000000e+00
7.143180000000001750e-02,-0.000000000000000000e+00
7.145350000000037782e-02,-0.000000000000000000e+00
7.146549999999986247e-02,-0.000000000000000000e+00
7.146990000000058574e-02,-0.000000000000000000e+00
7.147860000000037795e-02,-0.000000000000000000e+00
7.149590000000002887e-02,-0.000000000000000000e+00
7.153070000000090467e-02,-0.000000000000000000e+00
7.160009999999938923e-02,-0.000000000000000000e+00
7.173909999999962539e-02,-0.000000000000000000e+00
7.201690000000021685e-02,-0.000000000000000000e+00
7.257269999999960142e-02,-0.000000000000000000e+00
7.368420000000010239e-02,-0.000000000000000000e+00
7.590719999999942513e-02,-0.000000000000000000e+00
7.839710000000087164e-02,-0.000000000000000000e+00
7.839810000000026202e-02,-0.000000000000000000e+00
7.840010000000074974e-02,-0.000000000000000000e+00
7.840410000000000434e-02,-0.000000000000000000e+00
7.840709999999988244e-02,-0.000000000000000000e+00
7.840789999999939197e-02,-0.000000000000000000e+00
7.840950000000011799e-02,-0.000000000000000000e+00
7.841269999999986307e-02,-0.000000000000000000e+00
7.841909999999936709e-02,-0.000000000000000000e+00
7.843190000000005435e-02,-0.000000000000000000e+00
7.845749999999974966e-02,-0.000000000000000000e+00
7.850870000000081950e-02,-0.000000000000000000e+00
7.861109999999958686e-02,-0.000000000000000000e+00
7.881590000000049390e-02,-0.000000000000000000e+00
7.922550000000061488e-02,-0.000000000000000000e+00
8.004470000000087071e-02,-0.000000000000000000e+00
8.025410000000067490e-02,-0.000000000000000000e+00
8.030410000000079429e-02,-0.000000000000000000e+00
8.032049999999929524e-02,-0.000000000000000000e+00
8.035329999999968331e-02,-0.000000000000000000e+00
8.041880000000053985e-02,-0.000000000000000000e+00
8.054990000000050721e-02,-0.000000000000000000e+00
8.081200000000046679e-02,-0.000000000000000000e+00
8.133630000000036109e-02,-0.000000000000000000e+00
8.238490000000012192e-02,-0.000000000000000000e+00
8.448199999999971010e-02,-0.000000000000000000e+00
8.731570000000062060e-02,-0.000000000000000000e+00
8.731670000000001097e-02,-0.000000000000000000e+00
8.731870000000048482e-02,-0.000000000000000000e+00
8.732269999999975330e-02,-0.000000000000000000e+00
8.732569999999961752e-02,-0.000000000000000000e+00
8.732650000000083401e-02,-0.000000000000000000e+00
8.732809999999985306e-02,-0.000000000000000000e+00
8.733129999999961202e-02,-0.000000000000000000e+00
8.733770000000079525e-02,-0.000000000000000000e+00
8.735049999999980330e-02,-0.000000000000000000e+00
8.737609999999948474e-02,-0.000000000000000000e+00
8.742730000000056845e-02,-0.000000000000000000e+00
8.752969999999932194e-02,-0.000000000000000000e+00
8.773450000000022897e-02,-0.000000000000000000e+00
8.814410000000036383e-02,-0.000000000000000000e+00
8.887269999999976300e-02,-0.000000000000000000e+00
8.895460000000081358e-02,-0.000000000000000000e+00
8.911839999999954243e-02,-0.000000000000000000e+00
8.912270000000030445e-02,-0.000000000000000000e+00
8.913120000000022969e-02,-0.000000000000000000e+00
8.914810000000011891e-02,-0.000000000000000000e+00
8.917270000000042385e-02,-0.000000000000000000e+00
8.917610000000004977e-02,-0.000000000000000000e+00
8.918289999999930162e-02,-0.000000000000000000e+00
8.919639999999956492e-02,-0.000000000000000000e+00
8.922270000000052936e-02,-0.000000000000000000e+00
8.922540000000057925e-02,-0.000000000000000000e+00
8.923080000000069290e-02,-0.000000000000000000e+00
8.924170000000083980e-02,-0.000000000000000000e+00
8.926339999999952091e-02,-0.000000000000000000e+00
8.927270000000063488e-02,-0.000000000000000000e+00
8.927699999999971769e-02,6.512639970000000215e-03
8.928569999999952378e-02,1.953791989999999895e-02
8.930310000000080128e-02,4.558847979999999800e-02
8.932270000000075427e-02,7.499999999999999722e-02
8.932620000000031368e-02,8.021011200000000008e-02
8.933309999999951290e-02,9.063033589999999751e-02
8.934699999999953790e-02,1.114707840000000033e-01
8.937479999999958791e-02,1.531516800000000122e-01
8.943039999999967404e-02,2.365134710000000029e-01
8.954149999999992671e-02,4.032370550000000109e-01
8.976380000000036552e-02,7.366842209999999724e-01
9.008080000000086296e-02,1.212223950000000050e+00
9.028170000000075579e-02,1.500000000000000000e+00
9.043729999999937375e-02,1.500000000000000000e+00
9.060870000000025015e-02,1.500000000000000000e+00
9.076670000000079674e-02,1.500000000000000000e+00
9.108280000000014420e-02,1.500000000000000000e+00
9.146140000000047010e-02,1.500000000000000000e+00
9.202829999999988242e-02,1.500000000000000000e+00
9.282899999999950913e-02,1.500000000000000000e+00
9.441370000000046114e-02,1.500000000000000000e+00
9.625430000000007036e-02,1.500000000000000000e+00
9.625529999999946074e-02,1.500000000000000000e+00
9.625729999999993458e-02,1.500000000000000000e+00
9.626130000000089615e-02,1.500000000000000000e+00
9.626430000000076037e-02,1.500000000000000000e+00
9.626510000000028378e-02,1.500000000000000000e+00
9.626669999999930283e-02,1.500000000000000000e+00
9.626990000000075487e-02,1.500000000000000000e+00
9.627630000000024502e-02,1.500000000000000000e+00
9.628910000000094616e-02,1.500000000000000000e+00
9.631470000000062759e-02,1.500000000000000000e+00
9.636590000000001821e-02,1.500000000000000000e+00
9.646830000000046479e-02,1.500000000000000000e+00
9.667309999999967873e-02,1.500000000000000000e+00
9.708269999999981359e-02,1.500000000000000000e+00
9.790190000000005555e-02,1.500000000000000000e+00
9.806129999999975422e-02,1.500000000000000000e+00
9.811129999999987361e-02,1.500000000000000000e+00
9.812760000000013416e-02,1.500000000000000000e+00
9.816040000000052224e-02,1.500000000000000000e+00
9.822589999999968569e-02,1.500000000000000000e+00
9.835699999999963916e-02,1.500000000000000000e+00
9.861919999999954611e-02,1.500000000000000000e+00
9.914339999999949304e-02,1.500000000000000000e+00
1.001919999999992539e-01,1.500000000000000000e+00
1.022892000000004825e-01,1.500000000000000000e+00
1.051727999999998719e-01,1.500000000000000000e+00
1.055299999999996519e-01,1.500000000000000000e+00
1.062442999999992643e-01,1.500000000000000000e+00
1.070799999999996616e-01,1.500000000000000000e+00
1.072227999999992853e-01,1.500000000000000000e+00
1.073300000000002030e-01,1.500000000000000000e+00
1.073584999999998291e-01,1.500000000000000000e+00
1.073800000000003224e-01,1.500000000000000000e+00
1.073857000000002365e-01,1.500000000000000000e+00
1.073971000000000925e-01,1.500000000000000000e+00
1.074199999999997240e-01,1.500000000000000000e+00
1.074300000000004279e-01,1.500000000000000000e+00
1.074344999999993916e-01,1.500000000000000000e+00
1.074437000000005721e-01,1.500000000000000000e+00
1.074619999999996134e-01,1.500000000000000000e+00
1.074800000000005334e-01,1.500000000000000000e+00
1.074836000000000402e-01,1.494514279999999973e+00
1.074909000000006942e-01,1.483542850000000080e+00
1.075056000000002288e-01,1.461599979999999910e+00
1.075347999999994170e-01,1.417714249999999954e+00
1.075932999999994477e-01,1.329942790000000041e+00
1.077103999999994427e-01,1.154399860000000055e+00
1.079443999999995518e-01,8.033140069999999966e-01
1.082280999999999521e-01,3.778101500000000113e-01
1.084498000000007484e-01,4.519730849999999828e-02
1.086043999999999760e-01,-0.000000000000000000e+00
1.087865999999993727e-01,-0.000000000000000000e+00
1.089526000000001493e-01,-0.000000000000000000e+00
1.092417000000006494e-01,-0.000000000000000000e+00
1.096306999999997478e-01,-0.000000000000000000e+00
1.101431000000000771e-01,-0.000000000000000000e+00
1.109241999999997647e-01,-0.000000000000000000e+00
1.122985999999997625e-01,-0.000000000000000000e+00
1.141113999999993217e-01,-0.000000000000000000e+00
1.141124000000004052e-01,-0.000000000000000000e+00
1.141144000000008790e-01,-0.000000000000000000e+00
1.141184000000001475e-01,-0.000000000000000000e+00
1.141214000000000117e-01,-0.000000000000000000e+00
1.141221999999995351e-01,-0.000000000000000000e+00
1.141238000000002473e-01,-0.000000000000000000e+00
1.141270000000000062e-01,-0.000000000000000000e+00
1.141333999999994964e-01,-0.000000000000000000e+00
1.141462000000001975e-01,-0.000000000000000000e+00
1.141717999999998789e-01,-0.000000000000000000e+00
1.142229999999992557e-01,-0.000000000000000000e+00
1.143253999999997161e-01,-0.000000000000000000e+00
1.145302000000006232e-01,-0.000000000000000000e+00
1.149398000000007580e-01,-0.000000000000000000e+00
1.157589999999993069e-01,-0.000000000000000000e+00
1.159684000000008181e-01,-0.000000000000000000e+00
1.160184000000009236e-01,-0.000000000000000000e+00
1.160347999999994245e-01,-0.000000000000000000e+00
1.160675999999998265e-01,-0.000000000000000000e+00
1.161331000000006830e-01,-0.000000000000000000e+00
1.162642000000006365e-01,-0.000000000000000000e+00
1.165263000000006099e-01,-0.000000000000000000e+00
1.170506000000004904e-01,-0.000000000000000000e+00
1.180992000000002512e-01,-0.000000000000000000e+00
