 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.20007371e+01  7.87435802e-06  7.63463505e-06 
 1.22774708e+01  7.76783636e-06  7.53135628e-06 
 1.25605860e+01  7.66276440e-06  7.42948308e-06 
 1.28502297e+01  7.55912250e-06  7.32899641e-06 
 1.31465525e+01  7.45689130e-06  7.22987748e-06 
 1.34497085e+01  7.35605168e-06  7.13210777e-06 
 1.37598551e+01  7.25658480e-06  7.03566901e-06 
 1.40771537e+01  7.15847207e-06  6.94054317e-06 
 1.44017690e+01  7.06169516e-06  6.84671249e-06 
 1.47338699e+01  6.96623597e-06  6.75415941e-06 
 1.50736290e+01  6.87207668e-06  6.66286666e-06 
 1.54212228e+01  6.77919968e-06  6.57281716e-06 
 1.57768320e+01  6.68758762e-06  6.48399409e-06 
 1.61406415e+01  6.59722338e-06  6.39638086e-06 
 1.65128404e+01  6.50809007e-06  6.30996107e-06 
 1.68936220e+01  6.42017103e-06  6.22471860e-06 
 1.72831844e+01  6.33344984e-06  6.14063750e-06 
 1.76817299e+01  6.24791029e-06  6.05770207e-06 
 1.80894658e+01  6.16353639e-06  5.97589681e-06 
 1.85066040e+01  6.08031237e-06  5.89520643e-06 
 1.89333613e+01  5.99822270e-06  5.81561585e-06 
 1.93699595e+01  5.91725202e-06  5.73711020e-06 
 1.98166255e+01  5.83738520e-06  5.65967481e-06 
 2.02735916e+01  5.75860733e-06  5.58329520e-06 
 2.07410951e+01  5.68090367e-06  5.50795712e-06 
 2.12193792e+01  5.60425972e-06  5.43364648e-06 
 2.17086923e+01  5.52866115e-06  5.36034939e-06 
 2.22092889e+01  5.45409383e-06  5.28805216e-06 
 2.27214291e+01  5.38054383e-06  5.21674128e-06 
 2.32453791e+01  5.30799740e-06  5.14640342e-06 
 2.37814113e+01  5.23644100e-06  5.07702544e-06 
 2.43298042e+01  5.16586124e-06  5.00859438e-06 
 2.48908429e+01  5.09624495e-06  4.94109745e-06 
 2.54648190e+01  5.02757911e-06  4.87452204e-06 
 2.60520309e+01  4.95985090e-06  4.80885571e-06 
 2.66527837e+01  4.89304765e-06  4.74408619e-06 
 2.72673897e+01  4.82715689e-06  4.68020137e-06 
 2.78961683e+01  4.76216630e-06  4.61718933e-06 
 2.85394464e+01  4.69806375e-06  4.55503828e-06 
 2.91975583e+01  4.63483724e-06  4.49373661e-06 
 2.98708461e+01  4.57247498e-06  4.43327287e-06 
 3.05596598e+01  4.51096531e-06  4.37363577e-06 
 3.12643573e+01  4.45029673e-06  4.31481415e-06 
 3.19853049e+01  4.39045791e-06  4.25679703e-06 
 3.27228774e+01  4.33143766e-06  4.19957357e-06 
 3.34774581e+01  4.27322497e-06  4.14313308e-06 
 3.42494392e+01  4.21580895e-06  4.08746500e-06 
 3.50392221e+01  4.15917888e-06  4.03255895e-06 
 3.58472171e+01  4.10332417e-06  3.97840465e-06 
 3.66738442e+01  4.04823439e-06  3.92499200e-06 
 3.75195331e+01  3.99389924e-06  3.87231100e-06 
 3.83847234e+01  3.94030857e-06  3.82035182e-06 
 3.92698648e+01  3.88745238e-06  3.76910475e-06 
 4.01754173e+01  3.83532077e-06  3.71856022e-06 
 4.11018515e+01  3.78390402e-06  3.66870877e-06 
 4.20496491e+01  3.73319251e-06  3.61954110e-06 
 4.30193027e+01  3.68317677e-06  3.57104801e-06 
 4.40113162e+01  3.63384746e-06  3.52322045e-06 
 4.50262052e+01  3.58519534e-06  3.47604948e-06 
 4.60644974e+01  3.53721134e-06  3.42952628e-06 
 4.71267322e+01  3.48988649e-06  3.38364217e-06 
 4.82134619e+01  3.44321195e-06  3.33838856e-06 
 4.93252513e+01  3.39717898e-06  3.29375700e-06 
 5.04626783e+01  3.35177900e-06  3.24973915e-06 
 5.16263340e+01  3.30700351e-06  3.20632678e-06 
 5.28168234e+01  3.26284415e-06  3.16351179e-06 
 5.40347650e+01  3.21929267e-06  3.12128616e-06 
 5.52807921e+01  3.17634092e-06  3.07964202e-06 
 5.65555523e+01  3.13398088e-06  3.03857156e-06 
 5.78597080e+01  3.09220463e-06  2.99806713e-06 
 5.91939372e+01  3.05100437e-06  2.95812115e-06 
 6.05589334e+01  3.01037239e-06  2.91872615e-06 
 6.19554061e+01  2.97030110e-06  2.87987478e-06 
 6.33840810e+01  2.93078301e-06  2.84155976e-06 
 6.48457008e+01  2.89181074e-06  2.80377393e-06 
 6.63410251e+01  2.85337699e-06  2.76651024e-06 
 6.78708313e+01  2.81547458e-06  2.72976171e-06 
 6.94359143e+01  2.77809642e-06  2.69352148e-06 
 7.10370877e+01  2.74123554e-06  2.65778277e-06 
 7.26751838e+01  2.70488503e-06  2.62253890e-06 
 7.43510539e+01  2.66903810e-06  2.58778327e-06 
 7.60655691e+01  2.63368804e-06  2.55350940e-06 
 7.78196206e+01  2.59882825e-06  2.51971086e-06 
 7.96141200e+01  2.56445221e-06  2.48638135e-06 
