 frequency       v(Amag_dB)      v(Aarg)        
 1.02305973e+01 -6.28913741e+00 -2.64818164e-03 
 1.04665121e+01 -6.28913741e+00 -2.70924799e-03 
 1.07078670e+01 -6.28913741e+00 -2.77172252e-03 
 1.09547876e+01 -6.28913741e+00 -2.83563769e-03 
 1.12074020e+01 -6.28913741e+00 -2.90102673e-03 
 1.14658417e+01 -6.28913741e+00 -2.96792363e-03 
 1.17302409e+01 -6.28913741e+00 -3.03636314e-03 
 1.20007371e+01 -6.28913741e+00 -3.10638086e-03 
 1.22774708e+01 -6.28913741e+00 -3.17801316e-03 
 1.25605860e+01 -6.28913741e+00 -3.25129729e-03 
 1.28502297e+01 -6.28913741e+00 -3.32627132e-03 
 1.31465525e+01 -6.28913741e+00 -3.40297424e-03 
 1.34497085e+01 -6.28913741e+00 -3.48144591e-03 
 1.37598551e+01 -6.28913741e+00 -3.56172711e-03 
 1.40771537e+01 -6.28913741e+00 -3.64385957e-03 
 1.44017690e+01 -6.28913741e+00 -3.72788599e-03 
 1.47338699e+01 -6.28913741e+00 -3.81385004e-03 
 1.50736290e+01 -6.28913741e+00 -3.90179639e-03 
 1.54212228e+01 -6.28913741e+00 -3.99177076e-03 
 1.57768320e+01 -6.28913741e+00 -4.08381991e-03 
 1.61406415e+01 -6.28913741e+00 -4.17799170e-03 
 1.65128404e+01 -6.28913741e+00 -4.27433506e-03 
 1.68936220e+01 -6.28913741e+00 -4.37290007e-03 
 1.72831844e+01 -6.28913741e+00 -4.47373796e-03 
 1.76817299e+01 -6.28913741e+00 -4.57690115e-03 
 1.80894658e+01 -6.28913741e+00 -4.68244326e-03 
 1.85066040e+01 -6.28913741e+00 -4.79041913e-03 
 1.89333613e+01 -6.28913741e+00 -4.90088490e-03 
 1.93699595e+01 -6.28913741e+00 -5.01389799e-03 
 1.98166255e+01 -6.28913741e+00 -5.12951712e-03 
 2.02735916e+01 -6.28913741e+00 -5.24780240e-03 
 2.07410951e+01 -6.28913741e+00 -5.36881530e-03 
 2.12193792e+01 -6.28913741e+00 -5.49261873e-03 
 2.17086923e+01 -6.28913741e+00 -5.61927704e-03 
 2.22092889e+01 -6.28913741e+00 -5.74885605e-03 
 2.27214291e+01 -6.28913741e+00 -5.88142312e-03 
 2.32453791e+01 -6.28913741e+00 -6.01704715e-03 
 2.37814113e+01 -6.28913741e+00 -6.15579863e-03 
 2.43298042e+01 -6.28913741e+00 -6.29774968e-03 
