 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.20007371e+00  4.52255514e-06  1.06543842e-04 
 1.22774708e+00  4.47129559e-06  1.05336253e-04 
 1.25605860e+00  4.42061703e-06  1.04142351e-04 
 1.28502297e+00  4.37051287e-06  1.02961981e-04 
 1.31465525e+00  4.32097660e-06  1.01794989e-04 
 1.34497085e+00  4.27200179e-06  1.00641224e-04 
 1.37598551e+00  4.22358207e-06  9.95005364e-05 
 1.40771537e+00  4.17571115e-06  9.83727775e-05 
 1.44017690e+00  4.12838281e-06  9.72578009e-05 
 1.47338699e+00  4.08159090e-06  9.61554617e-05 
 1.50736290e+00  4.03532934e-06  9.50656167e-05 
 1.54212228e+00  3.98959212e-06  9.39881242e-05 
 1.57768320e+00  3.94437330e-06  9.29228443e-05 
 1.61406415e+00  3.89966700e-06  9.18696385e-05 
 1.65128404e+00  3.85546741e-06  9.08283700e-05 
 1.68936220e+00  3.81176878e-06  8.97989035e-05 
 1.72831844e+00  3.76856545e-06  8.87811051e-05 
 1.76817299e+00  3.72585180e-06  8.77748428e-05 
 1.80894658e+00  3.68362227e-06  8.67799856e-05 
 1.85066040e+00  3.64187138e-06  8.57964044e-05 
 1.89333613e+00  3.60059370e-06  8.48239714e-05 
 1.93699595e+00  3.55978388e-06  8.38625601e-05 
 1.98166255e+00  3.51943660e-06  8.29120457e-05 
 2.02735916e+00  3.47954663e-06  8.19723046e-05 
 2.07410951e+00  3.44010878e-06  8.10432148e-05 
 2.12193792e+00  3.40111793e-06  8.01246555e-05 
 2.17086923e+00  3.36256901e-06  7.92165074e-05 
 2.22092889e+00  3.32445702e-06  7.83186524e-05 
 2.27214291e+00  3.28677699e-06  7.74309740e-05 
 2.32453791e+00  3.24952404e-06  7.65533567e-05 
 2.37814113e+00  3.21269332e-06  7.56856865e-05 
 2.43298042e+00  3.17628005e-06  7.48278508e-05 
 2.48908429e+00  3.14027950e-06  7.39797379e-05 
 2.54648190e+00  3.10468699e-06  7.31412378e-05 
 2.60520309e+00  3.06949789e-06  7.23122414e-05 
 2.66527837e+00  3.03470763e-06  7.14926410e-05 
 2.72673897e+00  3.00031169e-06  7.06823303e-05 
 2.78961683e+00  2.96630561e-06  6.98812037e-05 
 2.85394464e+00  2.93268496e-06  6.90891574e-05 
 2.91975583e+00  2.89944537e-06  6.83060883e-05 
 2.98708461e+00  2.86658253e-06  6.75318946e-05 
 3.05596598e+00  2.83409217e-06  6.67664759e-05 
 3.12643573e+00  2.80197005e-06  6.60097327e-05 
 3.19853049e+00  2.77021202e-06  6.52615665e-05 
 3.27228774e+00  2.73881395e-06  6.45218803e-05 
 3.34774581e+00  2.70777174e-06  6.37905778e-05 
 3.42494392e+00  2.67708138e-06  6.30675641e-05 
 3.50392221e+00  2.64673887e-06  6.23527453e-05 
 3.58472171e+00  2.61674026e-06  6.16460283e-05 
 3.66738442e+00  2.58708167e-06  6.09473215e-05 
 3.75195331e+00  2.55775924e-06  6.02565340e-05 
 3.83847234e+00  2.52876916e-06  5.95735760e-05 
 3.92698648e+00  2.50010766e-06  5.88983589e-05 
 4.01754173e+00  2.47177101e-06  5.82307949e-05 
 4.11018515e+00  2.44375554e-06  5.75707972e-05 
 4.20496491e+00  2.41605760e-06  5.69182801e-05 
 4.30193027e+00  2.38867360e-06  5.62731588e-05 
 4.40113162e+00  2.36159998e-06  5.56353495e-05 
 4.50262052e+00  2.33483321e-06  5.50047692e-05 
 4.60644974e+00  2.30836983e-06  5.43813362e-05 
 4.71267322e+00  2.28220639e-06  5.37649692e-05 
 4.82134619e+00  2.25633950e-06  5.31555884e-05 
 4.93252513e+00  2.23076578e-06  5.25531144e-05 
 5.04626783e+00  2.20548193e-06  5.19574691e-05 
 5.16263340e+00  2.18048465e-06  5.13685749e-05 
 5.28168234e+00  2.15577069e-06  5.07863554e-05 
 5.40347650e+00  2.13133685e-06  5.02107350e-05 
 5.52807921e+00  2.10717995e-06  4.96416388e-05 
 5.65555523e+00  2.08329685e-06  4.90789929e-05 
 5.78597080e+00  2.05968445e-06  4.85227242e-05 
 5.91939372e+00  2.03633968e-06  4.79727604e-05 
 6.05589334e+00  2.01325951e-06  4.74290300e-05 
 6.19554061e+00  1.99044093e-06  4.68914624e-05 
 6.33840810e+00  1.96788098e-06  4.63599878e-05 
 6.48457008e+00  1.94557674e-06  4.58345371e-05 
 6.63410251e+00  1.92352529e-06  4.53150419e-05 
 6.78708313e+00  1.90172379e-06  4.48014349e-05 
 6.94359143e+00  1.88016939e-06  4.42936492e-05 
 7.10370877e+00  1.85885929e-06  4.37916190e-05 
 7.26751838e+00  1.83779073e-06  4.32952788e-05 
 7.43510539e+00  1.81696097e-06  4.28045644e-05 
 7.60655691e+00  1.79636729e-06  4.23194119e-05 
 7.78196206e+00  1.77600703e-06  4.18397582e-05 
 7.96141200e+00  1.75587754e-06  4.13655410e-05 
 8.14500001e+00  1.73597621e-06  4.08966988e-05 
 8.33282151e+00  1.71630044e-06  4.04331706e-05 
 8.52497412e+00  1.69684768e-06  3.99748961e-05 
 8.72155772e+00  1.67761541e-06  3.95218159e-05 
 8.92267449e+00  1.65860112e-06  3.90738711e-05 
 9.12842895e+00  1.63980235e-06  3.86310033e-05 
 9.33892805e+00  1.62121664e-06  3.81931552e-05 
 9.55428121e+00  1.60284160e-06  3.77602698e-05 
 9.77460036e+00  1.58467482e-06  3.73322908e-05 
 1.00000000e+01  1.56671395e-06  3.69091627e-05 
 1.02305973e+01  1.54895665e-06  3.64908305e-05 
 1.04665121e+01  1.53140062e-06  3.60772398e-05 
 1.07078670e+01  1.51404358e-06  3.56683369e-05 
 1.09547876e+01  1.49688326e-06  3.52640686e-05 
 1.12074020e+01  1.47991745e-06  3.48643824e-05 
 1.14658417e+01  1.46314394e-06  3.44692264e-05 
 1.17302409e+01  1.44656054e-06  3.40785492e-05 
 1.20007371e+01  1.43016510e-06  3.36923001e-05 
 1.22774708e+01  1.41395549e-06  3.33104289e-05 
 1.25605860e+01  1.39792961e-06  3.29328859e-05 
 1.28502297e+01  1.38208538e-06  3.25596222e-05 
 1.31465525e+01  1.36642072e-06  3.21905891e-05 
 1.34497085e+01  1.35093362e-06  3.18257388e-05 
 1.37598551e+01  1.33562205e-06  3.14650239e-05 
 1.40771537e+01  1.32048403e-06  3.11083974e-05 
 1.44017690e+01  1.30551759e-06  3.07558131e-05 
 1.47338699e+01  1.29072079e-06  3.04072250e-05 
