 time            v(vin_tg)       v(vout_tg_on)   v(vout_tg_off) 
 6.52800000e-04  1.35575908e-01  1.35576086e-01  7.03840935e-01 
 6.62800000e-04  1.09782348e-01  1.09782512e-01  7.03347734e-01 
 6.72800000e-04  8.65154352e-02  8.65155852e-02  7.02825256e-01 
 6.82800000e-04  6.58669925e-02  6.58671294e-02  7.02223850e-01 
 6.92800000e-04  4.79185103e-02  4.79186342e-02  7.01471514e-01 
 7.02800000e-04  3.27408229e-02  3.27409340e-02  7.00480489e-01 
 7.12800000e-04  2.03938299e-02  2.03939280e-02  6.99166753e-01 
 7.22800000e-04  1.09262590e-02  1.09263440e-02  6.97480807e-01 
 7.32800000e-04  4.37547462e-03  4.37554593e-03  6.95439424e-01 
 7.42800000e-04  7.67329559e-04  7.67386715e-04  6.93151447e-01 
 7.52800000e-04  1.16063554e-04  1.16106084e-04  6.90772072e-01 
 7.62800000e-04  2.42424686e-03  2.42427415e-03  6.88510803e-01 
 7.72800000e-04  7.68277012e-03  7.68278149e-03  6.86541075e-01 
 7.82800000e-04  1.58708804e-02  1.58708752e-02  6.84980313e-01 
 7.92800000e-04  2.69562628e-02  2.69562406e-02  6.83863292e-01 
 8.02800000e-04  4.08951686e-02  4.08951287e-02  6.83154825e-01 
 8.12800000e-04  5.76325872e-02  5.76325290e-02  6.82778520e-01 
 8.22800000e-04  7.71024637e-02  7.71023866e-02  6.82646951e-01 
 8.32800000e-04  9.92279593e-02  9.92278629e-02  6.82682852e-01 
 8.42800000e-04  1.23921755e-01  1.23921638e-01  6.82828409e-01 
 8.52800000e-04  1.51086395e-01  1.51086258e-01  6.83045435e-01 
 8.62800000e-04  1.80614674e-01  1.80614515e-01  6.83310987e-01 
 8.72800000e-04  2.12390056e-01  2.12389875e-01  6.83612128e-01 
 8.82800000e-04  2.46287140e-01  2.46286934e-01  6.83941672e-01 
 8.92800000e-04  2.82172148e-01  2.82171916e-01  6.84295399e-01 
 9.02800000e-04  3.19903458e-01  3.19903197e-01  6.84670466e-01 
 9.12800000e-04  3.59332164e-01  3.59331870e-01  6.85064601e-01 
 9.22800000e-04  4.00302656e-01  4.00302326e-01  6.85475730e-01 
 9.32800000e-04  4.42653245e-01  4.42652870e-01  6.85901821e-01 
 9.42800000e-04  4.86216790e-01  4.86216365e-01  6.86340826e-01 
 9.52800000e-04  5.30821368e-01  5.30820886e-01  6.86790662e-01 
 9.62800000e-04  5.76290943e-01  5.76290407e-01  6.87249209e-01 
 9.72800000e-04  6.22446069e-01  6.22445486e-01  6.87714316e-01 
 9.82800000e-04  6.69104591e-01  6.69103975e-01  6.88183810e-01 
 9.92800000e-04  7.16082371e-01  7.16081730e-01  6.88655501e-01 
 1.00280000e-03  7.63194009e-01  7.63193362e-01  6.89127189e-01 
 1.01280000e-03  8.10253575e-01  8.10252945e-01  6.89596676e-01 
 1.02280000e-03  8.57075348e-01  8.57074742e-01  6.90061776e-01 
 1.03280000e-03  9.03474544e-01  9.03473974e-01  6.90520321e-01 
 1.04280000e-03  9.49268046e-01  9.49267520e-01  6.90970170e-01 
 1.05280000e-03  9.94275128e-01  9.94274651e-01  6.91409215e-01 
 1.06280000e-03  1.03831817e+00  1.03831774e+00  6.91835397e-01 
 1.07280000e-03  1.08122335e+00  1.08122296e+00  6.92246708e-01 
 1.08280000e-03  1.12282134e+00  1.12282099e+00  6.92641210e-01 
