 time            v(vin)          v(vinp)         v(vinn)         v(voutp)        v(voutn)        v(vout)        
 8.03085937e-06  1.81758927e-02  4.50000000e-01  1.05000000e+00  9.47036614e-01  5.60551887e-01  3.86484727e-01 
 8.03108259e-06  1.83073379e-02  1.05000000e+00  4.50000000e-01  9.46980556e-01  5.60598636e-01  3.86381921e-01 
 8.03125000e-06  1.84059214e-02  1.50000000e+00  2.22044605e-16  9.46938510e-01  5.60633705e-01  3.86304805e-01 
 8.03129464e-06  1.84322103e-02  1.50000000e+00  2.22044605e-16  9.46927298e-01  5.60643058e-01  3.86284239e-01 
 8.03138393e-06  1.84847880e-02  1.50000000e+00  2.22044605e-16  9.46904872e-01  5.60661766e-01  3.86243106e-01 
 8.03156250e-06  1.85899431e-02  1.50000000e+00  2.22044605e-16  9.46860019e-01  5.60699187e-01  3.86160832e-01 
 8.03191964e-06  1.88002522e-02  1.50000000e+00  2.22044605e-16  9.46770304e-01  5.60774051e-01  3.85996254e-01 
 8.03250313e-06  1.91438433e-02  1.50000000e+00  2.22044605e-16  9.46623698e-01  5.60896411e-01  3.85727287e-01 
 8.03324359e-06  1.95798649e-02  1.50000000e+00  2.22044605e-16  9.46437575e-01  5.61051765e-01  3.85385810e-01 
 8.03454118e-06  2.03439394e-02  1.50000000e+00  2.22044605e-16  9.46111190e-01  5.61324179e-01  3.84787011e-01 
 8.03707349e-06  2.18350034e-02  1.50000000e+00  2.22044605e-16  9.45473520e-01  5.61856462e-01  3.83617058e-01 
 8.04017857e-06  2.36632044e-02  1.50000000e+00  4.55391280e-12  9.44690501e-01  5.62510522e-01  3.82179979e-01 
 8.04023438e-06  2.36960591e-02  1.35000000e+00  1.50000000e-01  9.44676418e-01  5.62522292e-01  3.82154125e-01 
 8.04034598e-06  2.37617682e-02  1.05000000e+00  4.50000000e-01  9.44648249e-01  5.62545833e-01  3.82102416e-01 
 8.04056920e-06  2.38931859e-02  4.50000000e-01  1.05000000e+00  9.44591910e-01  5.62592923e-01  3.81998986e-01 
 8.04073661e-06  2.39917487e-02 -0.00000000e+00  1.50000000e+00  9.44549654e-01  5.62628249e-01  3.81921405e-01 
 8.04078125e-06  2.40180320e-02 -0.00000000e+00  1.50000000e+00  9.44538385e-01  5.62637671e-01  3.81900715e-01 
 8.04087054e-06  2.40705986e-02 -0.00000000e+00  1.50000000e+00  9.44515849e-01  5.62656516e-01  3.81859333e-01 
 8.04104911e-06  2.41757314e-02 -0.00000000e+00  1.50000000e+00  9.44470774e-01  5.62694212e-01  3.81776562e-01 
 8.04140625e-06  2.43859957e-02 -0.00000000e+00  1.50000000e+00  9.44380622e-01  5.62769629e-01  3.81610992e-01 
 8.04198973e-06  2.47295117e-02 -0.00000000e+00  1.50000000e+00  9.44233305e-01  5.62892900e-01  3.81340405e-01 
 8.04273019e-06  2.51654367e-02 -0.00000000e+00  1.50000000e+00  9.44046276e-01  5.63049412e-01  3.80996864e-01 
 8.04402778e-06  2.59293365e-02 -0.00000000e+00  1.50000000e+00  9.43718255e-01  5.63323862e-01  3.80394393e-01 
 8.04656009e-06  2.74200430e-02 -0.00000000e+00  1.50000000e+00  9.43077171e-01  5.63860232e-01  3.79216939e-01 
 8.04854911e-06  2.85908553e-02  4.55364912e-12  1.50000000e+00  9.42572884e-01  5.64282410e-01  3.78290474e-01 
 8.04860491e-06  2.86237024e-02  1.50000000e-01  1.35000000e+00  9.42558726e-01  5.64294266e-01  3.78264460e-01 
 8.04871652e-06  2.86893965e-02  4.50000000e-01  1.05000000e+00  9.42530409e-01  5.64317981e-01  3.78212428e-01 
 8.04893973e-06  2.88207839e-02  1.05000000e+00  4.50000000e-01  9.42473772e-01  5.64365420e-01  3.78108352e-01 
 8.04910714e-06  2.89193238e-02  1.50000000e+00  4.55391280e-12  9.42431291e-01  5.64401008e-01  3.78030284e-01 
 8.04915179e-06  2.89456011e-02  1.50000000e+00  2.22044605e-16  9.42419963e-01  5.64410499e-01  3.78009463e-01 
 8.04924107e-06  2.89981554e-02  1.50000000e+00  2.22044605e-16  9.42397305e-01  5.64429484e-01  3.77967821e-01 
 8.04941964e-06  2.91032638e-02  1.50000000e+00  2.22044605e-16  9.42351986e-01  5.64467459e-01  3.77884527e-01 
 8.04977679e-06  2.93134787e-02  1.50000000e+00  2.22044605e-16  9.42261339e-01  5.64543433e-01  3.77717906e-01 
 8.05036027e-06  2.96569141e-02  1.50000000e+00  2.22044605e-16  9.42113203e-01  5.64667613e-01  3.77445590e-01 
 8.05110073e-06  3.00927348e-02  1.50000000e+00  2.22044605e-16  9.41925127e-01  5.64825287e-01  3.77099841e-01 
 8.05239832e-06  3.08564488e-02  1.50000000e+00  2.22044605e-16  9.41595288e-01  5.65101792e-01  3.76493496e-01 
 8.05493063e-06  3.23467779e-02  1.50000000e+00  2.22044605e-16  9.40950766e-01  5.65642156e-01  3.75308610e-01 
 8.05803571e-06  3.41740211e-02  1.50000000e+00  4.55391280e-12  9.40159152e-01  5.66306301e-01  3.73852851e-01 
 8.05809152e-06  3.42068580e-02  1.35000000e+00  1.50000000e-01  9.40144912e-01  5.66318254e-01  3.73826658e-01 
 8.05820312e-06  3.42725315e-02  1.05000000e+00  4.50000000e-01  9.40116431e-01  5.66342162e-01  3.73774269e-01 
 8.05842634e-06  3.44038777e-02  4.50000000e-01  1.05000000e+00  9.40059465e-01  5.66389985e-01  3.73669480e-01 
 8.05859375e-06  3.45023866e-02 -0.00000000e+00  1.50000000e+00  9.40016738e-01  5.66425861e-01  3.73590877e-01 
 8.05863839e-06  3.45286555e-02 -0.00000000e+00  1.50000000e+00  9.40005344e-01  5.66435430e-01  3.73569914e-01 
 8.05872768e-06  3.45811933e-02 -0.00000000e+00  1.50000000e+00  9.39982556e-01  5.66454569e-01  3.73527987e-01 
 8.05890625e-06  3.46862684e-02 -0.00000000e+00  1.50000000e+00  9.39936979e-01  5.66492854e-01  3.73444125e-01 
 8.05926339e-06  3.48964164e-02 -0.00000000e+00  1.50000000e+00  9.39845818e-01  5.66569450e-01  3.73276368e-01 
 8.05984688e-06  3.52397409e-02 -0.00000000e+00  1.50000000e+00  9.39696850e-01  5.66694652e-01  3.73002198e-01 
 8.06058734e-06  3.56754195e-02 -0.00000000e+00  1.50000000e+00  9.39507714e-01  5.66853625e-01  3.72654089e-01 
 8.06188493e-06  3.64388790e-02 -0.00000000e+00  1.50000000e+00  9.39175972e-01  5.67132410e-01  3.72043562e-01 
 8.06441723e-06  3.79286949e-02 -0.00000000e+00  1.50000000e+00  9.38527528e-01  5.67677326e-01  3.70850202e-01 
 8.06640625e-06  3.90987785e-02 -0.00000000e+00  1.50000000e+00  9.38017374e-01  5.68106297e-01  3.69911076e-01 
 8.06646205e-06  3.91316048e-02  1.50000000e-01  1.35000000e+00  9.38003050e-01  5.68118346e-01  3.69884705e-01 
 8.06657366e-06  3.91972571e-02  4.50000000e-01  1.05000000e+00  9.37974402e-01  5.68142444e-01  3.69831958e-01 
 8.06679687e-06  3.93285609e-02  1.05000000e+00  4.50000000e-01  9.37917101e-01  5.68190651e-01  3.69726451e-01 
 8.06696429e-06  3.94270379e-02  1.50000000e+00  4.55391280e-12  9.37874122e-01  5.68226815e-01  3.69647308e-01 
 8.06700893e-06  3.94532984e-02  1.50000000e+00  2.22044605e-16  9.37862660e-01  5.68236460e-01  3.69626200e-01 
 8.06709821e-06  3.95058191e-02  1.50000000e+00  2.22044605e-16  9.37839736e-01  5.68255752e-01  3.69583984e-01 
 8.06727679e-06  3.96108599e-02  1.50000000e+00  2.22044605e-16  9.37793886e-01  5.68294343e-01  3.69499543e-01 
 8.06763393e-06  3.98209393e-02  1.50000000e+00  2.22044605e-16  9.37702172e-01  5.68371550e-01  3.69330622e-01 
 8.06821741e-06  4.01641514e-02  1.50000000e+00  2.22044605e-16  9.37552289e-01  5.68497751e-01  3.69054539e-01 
 8.06895787e-06  4.05996856e-02  1.50000000e+00  2.22044605e-16  9.37361987e-01  5.68657995e-01  3.68703992e-01 
 8.07025547e-06  4.13628889e-02  1.50000000e+00  2.22044605e-16  9.37028222e-01  5.68939026e-01  3.68089196e-01 
 8.07278778e-06  4.28521900e-02  1.50000000e+00  2.22044605e-16  9.36375955e-01  5.69488299e-01  3.66887656e-01 
 8.07589286e-06  4.46781159e-02  1.50000000e+00  2.22044605e-16  9.35574705e-01  5.70163502e-01  3.65411203e-01 
 8.07594866e-06  4.47109285e-02  1.35000000e+00  1.50000000e-01  9.35560290e-01  5.70175655e-01  3.65384635e-01 
 8.07606027e-06  4.47765535e-02  1.05000000e+00  4.50000000e-01  9.35531460e-01  5.70199963e-01  3.65331497e-01 
 8.07628348e-06  4.49078023e-02  4.50000000e-01  1.05000000e+00  9.35473794e-01  5.70248587e-01  3.65225207e-01 
 8.07645089e-06  4.50062380e-02 -0.00000000e+00  1.50000000e+00  9.35430543e-01  5.70285065e-01  3.65145478e-01 
 8.07649554e-06  4.50324874e-02 -0.00000000e+00  1.50000000e+00  9.35419009e-01  5.70294794e-01  3.65124215e-01 
 8.07658482e-06  4.50849861e-02 -0.00000000e+00  1.50000000e+00  9.35395941e-01  5.70314254e-01  3.65081687e-01 
 8.07676339e-06  4.51899826e-02 -0.00000000e+00  1.50000000e+00  9.35349803e-01  5.70353181e-01  3.64996622e-01 
 8.07712054e-06  4.53999731e-02 -0.00000000e+00  1.50000000e+00  9.35257521e-01  5.70431064e-01  3.64826457e-01 
 8.07770402e-06  4.57430385e-02 -0.00000000e+00  1.50000000e+00  9.35106716e-01  5.70558373e-01  3.64548343e-01 
 8.07844448e-06  4.61783851e-02 -0.00000000e+00  1.50000000e+00  9.34915242e-01  5.70720025e-01  3.64195217e-01 
 8.07974207e-06  4.69412542e-02 -0.00000000e+00  1.50000000e+00  9.34579383e-01  5.71003521e-01  3.63575861e-01 
 8.08227437e-06  4.84298863e-02 -0.00000000e+00  1.50000000e+00  9.33922835e-01  5.71557692e-01  3.62365142e-01 
 8.08426339e-06  4.95990111e-02 -0.00000000e+00  1.50000000e+00  9.33406258e-01  5.71993990e-01  3.61412268e-01 
 8.08431920e-06  4.96318101e-02  1.50000000e-01  1.35000000e+00  9.33391754e-01  5.72006245e-01  3.61385509e-01 
 8.08443080e-06  4.96974078e-02  4.50000000e-01  1.05000000e+00  9.33362744e-01  5.72030756e-01  3.61331988e-01 
 8.08465402e-06  4.98286021e-02  1.05000000e+00  4.50000000e-01  9.33304719e-01  5.72079789e-01  3.61224930e-01 
 8.08482143e-06  4.99269969e-02  1.50000000e+00  2.22044605e-16  9.33261196e-01  5.72116573e-01  3.61144624e-01 
 8.08486607e-06  4.99532353e-02  1.50000000e+00  2.22044605e-16  9.33249590e-01  5.72126384e-01  3.61123206e-01 
 8.08495536e-06  5.00057121e-02  1.50000000e+00  2.22044605e-16  9.33226376e-01  5.72146007e-01  3.61080369e-01 
 8.08513393e-06  5.01106648e-02  1.50000000e+00  2.22044605e-16  9.33179945e-01  5.72185260e-01  3.60994685e-01 
 8.08549107e-06  5.03205672e-02  1.50000000e+00  2.22044605e-16  9.33087070e-01  5.72263792e-01  3.60823278e-01 
 8.08607456e-06  5.06634885e-02  1.50000000e+00  2.22044605e-16  9.32935287e-01  5.72392161e-01  3.60543126e-01 
 8.08681502e-06  5.10986505e-02  1.50000000e+00  2.22044605e-16  9.32742568e-01  5.72555163e-01  3.60187405e-01 
 8.08811261e-06  5.18611931e-02  1.50000000e+00  2.22044605e-16  9.32404551e-01  5.72841040e-01  3.59563511e-01 
 8.09064492e-06  5.33491732e-02  1.50000000e+00  2.22044605e-16  9.31743934e-01  5.73399819e-01  3.58344115e-01 
 8.09375000e-06  5.51734227e-02  1.50000000e+00  2.22044605e-16  9.30932361e-01  5.74086765e-01  3.56845596e-01 
