 time            v(vinp1_IF)     v(vinn1_IF)     v(vinp2_IF)     v(vinn2_IF)     v(LO_I)         v(LO_IX)        v(LO_Q)         v(LO_QX)        v(vout_RF)      v(vout_RF_filt)
 8.02697543e-06  1.49999962e+00  3.84408789e-07  7.50759350e-01  7.49240650e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  3.76618855e-03  3.16280370e-01 
 8.02698303e-06  1.49999961e+00  3.88936223e-07  7.50763809e-01  7.49236191e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.76657014e-03  3.16180777e-01 
 8.02699016e-06  1.49999961e+00  3.93214239e-07  7.50767998e-01  7.49232002e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.67120216e-03  3.16086565e-01 
 8.02699586e-06  1.49999960e+00  3.96644902e-07  7.50771341e-01  7.49228659e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  7.31021482e-03  3.16013342e-01 
 8.02700134e-06  1.49999960e+00  3.99961122e-07  7.50774559e-01  7.49225441e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.17276306e-02  3.15949771e-01 
 8.02700738e-06  1.49999960e+00  4.03632653e-07  7.50778106e-01  7.49221894e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.18491687e-02  3.15892672e-01 
 8.02701559e-06  1.49999959e+00  4.08650250e-07  7.50782927e-01  7.49217073e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.32904353e-02  3.15833834e-01 
 8.02702204e-06  1.49999959e+00  4.12615539e-07  7.50786717e-01  7.49213283e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  6.47044087e-02  3.15798498e-01 
 8.02702848e-06  1.49999958e+00  4.16589175e-07  7.50790496e-01  7.49209504e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  8.86362519e-02  3.15769135e-01 
 8.02703485e-06  1.49999958e+00  4.20543078e-07  7.50794238e-01  7.49205762e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.13795106e-01  3.15743068e-01 
 8.02704205e-06  1.49999957e+00  4.25027993e-07  7.50798462e-01  7.49201538e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.42613734e-01  3.15713858e-01 
 8.02704993e-06  1.49999957e+00  4.29972328e-07  7.50803093e-01  7.49196907e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.73542950e-01  3.15679074e-01 
 8.02705926e-06  1.49999956e+00  4.35856179e-07  7.50808569e-01  7.49191431e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.08327122e-01  3.15631959e-01 
 8.02707060e-06  1.49999956e+00  4.43061595e-07  7.50815225e-01  7.49184775e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.47553546e-01  3.15564906e-01 
 8.02708665e-06  1.49999955e+00  4.53368686e-07  7.50824653e-01  7.49175347e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.97551403e-01  3.15452142e-01 
 8.02711188e-06  1.49999953e+00  4.69802691e-07  7.50839466e-01  7.49160534e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  3.64753344e-01  3.15237984e-01 
 8.02714614e-06  1.49999951e+00  4.92584485e-07  7.50859579e-01  7.49140421e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.38360372e-01  3.14887623e-01 
 8.02720611e-06  1.49999947e+00  5.33773405e-07  7.50894796e-01  7.49105204e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.33349412e-01  3.14150893e-01 
 8.02730710e-06  1.49999939e+00  6.06857538e-07  7.50954089e-01  7.49045911e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  6.34504599e-01  3.12665311e-01 
 8.02742527e-06  1.49999930e+00  6.98338545e-07  7.51023478e-01  7.48976522e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  6.98915439e-01  3.10650287e-01 
 8.02760014e-06  1.49999915e+00  8.45478385e-07  7.51126151e-01  7.48873849e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  7.42208918e-01  3.07282551e-01 
 8.02781793e-06  1.49999895e+00  1.04839477e-06  7.51254030e-01  7.48745970e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  7.58808658e-01  3.02590821e-01 
 8.02812920e-06  1.49999862e+00  1.37625787e-06  7.51436797e-01  7.48563203e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  7.61223386e-01  2.95081955e-01 
