 freq            v(vout_RF_filt_spec_db)
 2.16822343e+07 -9.34123622e+01 
 2.18068449e+07 -9.53114817e+01 
 2.19314554e+07 -9.00227952e+01 
 2.20560659e+07 -8.80356060e+01 
 2.21806765e+07 -8.71189386e+01 
 2.23052870e+07 -9.16037635e+01 
 2.24298976e+07 -9.01497732e+01 
 2.25545081e+07 -8.55656653e+01 
 2.26791187e+07 -8.63100038e+01 
 2.28037292e+07 -9.84820433e+01 
 2.29283397e+07 -9.27207143e+01 
 2.30529503e+07 -8.89568288e+01 
 2.31775608e+07 -9.20048194e+01 
 2.33021714e+07 -8.66003080e+01 
 2.34267819e+07 -8.99045687e+01 
 2.35513924e+07 -8.87697265e+01 
 2.36760030e+07 -1.10923347e+02 
 2.38006135e+07 -8.28164150e+01 
 2.39252241e+07 -8.74609449e+01 
 2.40498346e+07 -8.78974557e+01 
 2.41744452e+07 -9.03573480e+01 
 2.42990557e+07 -8.09610816e+01 
 2.44236662e+07 -8.10054092e+01 
 2.45482768e+07 -8.41089635e+01 
 2.46728873e+07 -8.55547270e+01 
 2.47974979e+07 -7.42227394e+01 
 2.49221084e+07 -7.31912288e+01 
 2.50467190e+07 -8.83014395e+01 
 2.51713295e+07 -7.81328950e+01 
 2.52959400e+07 -7.62379533e+01 
 2.54205506e+07 -7.23027531e+01 
 2.55451611e+07 -7.64536299e+01 
 2.56697717e+07 -8.58156128e+01 
 2.57943822e+07 -6.63352422e+01 
 2.59189927e+07 -6.44761128e+01 
 2.60436033e+07 -7.46010037e+01 
 2.61682138e+07 -8.54683408e+01 
 2.62928244e+07 -6.11287025e+01 
 2.64174349e+07 -6.13238586e+01 
 2.65420455e+07 -7.21396534e+01 
 2.66666560e+07 -6.73328935e+01 
 2.67912665e+07 -5.42034401e+01 
 2.69158771e+07 -4.65706214e+01 
 2.70404876e+07 -5.65476548e+01 
 2.71650982e+07 -5.14787628e+01 
 2.72897087e+07 -3.49814946e+01 
 2.74143193e+07 -2.91613555e+01 
 2.75389298e+07 -4.52736290e+01 
 2.76635403e+07 -2.64308025e+01 
 2.77881509e+07 -3.54005521e+00 
 2.79127614e+07 -1.10074099e-06 
 2.80373720e+07 -8.77127695e+00 
 2.81619825e+07 -3.10871071e+01 
 2.82865930e+07 -2.24323936e+01 
 2.84112036e+07 -1.87939011e+01 
 2.85358141e+07 -2.76989675e+01 
 2.86604247e+07 -4.82234582e+01 
 2.87850352e+07 -4.98313784e+01 
 2.89096458e+07 -4.71305824e+01 
 2.90342563e+07 -6.30940861e+01 
 2.91588668e+07 -6.42368213e+01 
 2.92834774e+07 -6.88265544e+01 
 2.94080879e+07 -5.95749994e+01 
 2.95326985e+07 -6.27037420e+01 
 2.96573090e+07 -8.09595466e+01 
 2.97819196e+07 -6.61541693e+01 
 2.99065301e+07 -6.35151897e+01 
 3.00311406e+07 -7.13394883e+01 
 3.01557512e+07 -8.48797158e+01 
 3.02803617e+07 -7.29675549e+01 
 3.04049723e+07 -7.29948034e+01 
 3.05295828e+07 -8.05567731e+01 
 3.06541933e+07 -8.77445616e+01 
 3.07788039e+07 -7.91085012e+01 
 3.09034144e+07 -7.30856423e+01 
 3.10280250e+07 -7.89610682e+01 
 3.11526355e+07 -9.57050295e+01 
 3.12772461e+07 -8.59390825e+01 
 3.14018566e+07 -7.72179046e+01 
 3.15264671e+07 -8.08200400e+01 
 3.16510777e+07 -9.39647366e+01 
 3.17756882e+07 -9.29347971e+01 
 3.19002988e+07 -8.20271662e+01 
 3.20249093e+07 -8.23330039e+01 
 3.21495199e+07 -1.01016369e+02 
 3.22741304e+07 -1.00586404e+02 
 3.23987409e+07 -8.47388401e+01 
 3.25233515e+07 -9.43959008e+01 
 3.26479620e+07 -8.71815922e+01 
 3.27725726e+07 -9.64057289e+01 
 3.28971831e+07 -8.98267779e+01 
 3.30217936e+07 -9.38473805e+01 
 3.31464042e+07 -8.86371818e+01 
 3.32710147e+07 -8.81465158e+01 
 3.33956253e+07 -8.78706010e+01 
 3.35202358e+07 -8.84333915e+01 
 3.36448464e+07 -8.78862768e+01 
 3.37694569e+07 -8.56582602e+01 
 3.38940674e+07 -8.57662222e+01 
 3.40186780e+07 -9.34605486e+01 
 3.41432885e+07 -9.46322633e+01 
 3.42678991e+07 -8.73644680e+01 
 3.43925096e+07 -8.80639843e+01 
 3.45171201e+07 -1.00021519e+02 
 3.46417307e+07 -1.04111065e+02 
 3.47663412e+07 -9.16526927e+01 
 3.48909518e+07 -9.02574070e+01 
 3.50155623e+07 -1.01456005e+02 
 3.51401729e+07 -9.74607091e+01 
 3.52647834e+07 -9.28539044e+01 
 3.53893939e+07 -9.57089912e+01 
 3.55140045e+07 -1.06019503e+02 
 3.56386150e+07 -9.59827128e+01 
 3.57632256e+07 -9.14584138e+01 
 3.58878361e+07 -9.31038843e+01 
 3.60124467e+07 -9.15756246e+01 
 3.61370572e+07 -9.25739841e+01 
 3.62616677e+07 -9.48347726e+01 
 3.63862783e+07 -9.63017205e+01 
 3.65108888e+07 -9.35715584e+01 
 3.66354994e+07 -9.72825879e+01 
 3.67601099e+07 -9.83052792e+01 
 3.68847204e+07 -9.34320166e+01 
 3.70093310e+07 -9.43131180e+01 
 3.71339415e+07 -9.70842704e+01 
 3.72585521e+07 -1.01003548e+02 
 3.73831626e+07 -9.39814404e+01 
 3.75077732e+07 -9.63422120e+01 
 3.76323837e+07 -9.60142257e+01 
 3.77569942e+07 -9.44493271e+01 
 3.78816048e+07 -9.32220416e+01 
 3.80062153e+07 -9.30553222e+01 
 3.81308259e+07 -9.25866575e+01 
 3.82554364e+07 -9.47559465e+01 
 3.83800470e+07 -9.59728215e+01 
 3.85046575e+07 -9.40073893e+01 
 3.86292680e+07 -9.34075143e+01 
 3.87538786e+07 -9.72735050e+01 
 3.88784891e+07 -9.99512165e+01 
 3.90030997e+07 -9.73703300e+01 
 3.91277102e+07 -9.90361944e+01 
 3.92523207e+07 -1.04991521e+02 
 3.93769313e+07 -1.01727002e+02 
 3.95015418e+07 -9.83958229e+01 
 3.96261524e+07 -9.87685609e+01 
 3.97507629e+07 -1.02382655e+02 
 3.98753735e+07 -1.03310727e+02 
 3.99999840e+07 -1.00541882e+02 
 4.01245945e+07 -1.07483317e+02 
 4.02492051e+07 -1.05586666e+02 
 4.03738156e+07 -1.00087509e+02 
 4.04984262e+07 -1.01246109e+02 
 4.06230367e+07 -1.01252356e+02 
 4.07476473e+07 -1.03785076e+02 
 4.08722578e+07 -9.67718735e+01 
 4.09968683e+07 -9.65962288e+01 
 4.11214789e+07 -9.84824883e+01 
 4.12460894e+07 -9.88320977e+01 
 4.13707000e+07 -9.66054750e+01 
 4.14953105e+07 -9.71978464e+01 
 4.16199210e+07 -1.02964915e+02 
 4.17445316e+07 -1.03973649e+02 
 4.18691421e+07 -9.94625317e+01 
 4.19937527e+07 -9.94001909e+01 
 4.21183632e+07 -1.06515633e+02 
