 frequency       v(Amag_dB)      v(Aarg)        
 1.02305973e+01 -4.52546072e-01 -2.61256089e-03 
 1.04665121e+01 -4.52546072e-01 -2.67280584e-03 
 1.07078670e+01 -4.52546072e-01 -2.73444002e-03 
 1.09547876e+01 -4.52546072e-01 -2.79749546e-03 
 1.12074020e+01 -4.52546072e-01 -2.86200495e-03 
 1.14658417e+01 -4.52546072e-01 -2.92800201e-03 
 1.17302409e+01 -4.52546072e-01 -2.99552095e-03 
 1.20007371e+01 -4.52546072e-01 -3.06459685e-03 
 1.22774708e+01 -4.52546072e-01 -3.13526563e-03 
 1.25605860e+01 -4.52546072e-01 -3.20756401e-03 
 1.28502297e+01 -4.52546072e-01 -3.28152957e-03 
 1.31465525e+01 -4.52546072e-01 -3.35720075e-03 
 1.34497085e+01 -4.52546072e-01 -3.43461690e-03 
 1.37598551e+01 -4.52546072e-01 -3.51381823e-03 
 1.40771537e+01 -4.52546072e-01 -3.59484593e-03 
 1.44017690e+01 -4.52546072e-01 -3.67774211e-03 
 1.47338699e+01 -4.52546072e-01 -3.76254985e-03 
 1.50736290e+01 -4.52546072e-01 -3.84931323e-03 
 1.54212228e+01 -4.52546072e-01 -3.93807735e-03 
 1.57768320e+01 -4.52546072e-01 -4.02888835e-03 
 1.61406415e+01 -4.52546072e-01 -4.12179343e-03 
 1.65128404e+01 -4.52546072e-01 -4.21684087e-03 
 1.68936220e+01 -4.52546072e-01 -4.31408009e-03 
 1.72831844e+01 -4.52546072e-01 -4.41356161e-03 
 1.76817299e+01 -4.52546072e-01 -4.51533715e-03 
 1.80894658e+01 -4.52546072e-01 -4.61945960e-03 
 1.85066040e+01 -4.52546072e-01 -4.72598309e-03 
 1.89333613e+01 -4.52546072e-01 -4.83496298e-03 
 1.93699595e+01 -4.52546072e-01 -4.94645592e-03 
 1.98166255e+01 -4.52546072e-01 -5.06051986e-03 
 2.02735916e+01 -4.52546072e-01 -5.17721408e-03 
 2.07410951e+01 -4.52546072e-01 -5.29659924e-03 
