 time            v(vinp_Q)       v(vinn_Q)       v(vinp_I)       v(vinn_I)       v(LO_I)         v(LO_IX)        v(LO_Q)         v(LO_QX)        v(vout_RF)      v(vout_RF_filt)
 8.02690811e-06 -0.00000000e+00  1.50000000e+00  3.28997813e-01  1.17100219e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.38528597e-01 -2.85243819e-01 
 8.02691362e-06 -0.00000000e+00  1.50000000e+00  3.43800712e-01  1.15619929e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.38520449e-01 -2.85442419e-01 
 8.02691926e-06 -0.00000000e+00  1.50000000e+00  3.58978906e-01  1.14102109e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.38515610e-01 -2.85645771e-01 
 8.02692516e-06 -0.00000000e+00  1.50000000e+00  3.74833696e-01  1.12516630e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.38523216e-01 -2.85857856e-01 
 8.02693175e-06 -0.00000000e+00  1.50000000e+00  3.92540926e-01  1.10745907e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.38552469e-01 -2.86094307e-01 
 8.02693798e-06 -0.00000000e+00  1.50000000e+00  4.09288266e-01  1.09071173e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.38609064e-01 -2.86317517e-01 
 8.02694544e-06 -0.00000000e+00  1.50000000e+00  4.29333366e-01  1.07066663e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.38801829e-01 -2.86583913e-01 
 8.02695094e-06 -0.00000000e+00  1.50000000e+00  4.44131340e-01  1.05586866e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.39201637e-01 -2.86779608e-01 
 8.02695532e-06 -0.00000000e+00  1.50000000e+00  4.55905783e-01  1.04409422e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.39829415e-01 -2.86934341e-01 
 8.02695967e-06 -0.00000000e+00  1.50000000e+00  4.67596771e-01  1.03240323e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.40789868e-01 -2.87086956e-01 
 8.02696434e-06 -0.00000000e+00  1.50000000e+00  4.80157565e-01  1.01984243e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.42021530e-01 -2.87250239e-01 
 8.02696960e-06 -0.00000000e+00  1.50000000e+00  4.94289686e-01  1.00571031e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.43201507e-01 -2.87434257e-01 
 8.02697368e-06 -0.00000000e+00  1.50000000e+00  5.05252934e-01  9.94747066e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.43849562e-01 -2.87577533e-01 
 8.02697859e-06 -0.00000000e+00  1.50000000e+00  5.18459977e-01  9.81540023e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.45396068e-01 -2.87747994e-01 
 8.02698247e-06 -0.00000000e+00  1.50000000e+00  5.28878349e-01  9.71121651e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.48177135e-01 -2.87878341e-01 
 8.02698643e-06 -0.00000000e+00  1.50000000e+00  5.39533274e-01  9.60466726e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.53033087e-01 -2.88006400e-01 
