 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.20007371e+01  2.87383057e-06  2.69780261e-06 
 1.22774708e+01  2.84169057e-06  2.66763125e-06 
 1.25605860e+01  2.80991974e-06  2.63780645e-06 
 1.28502297e+01  2.77851395e-06  2.60832433e-06 
 1.31465525e+01  2.74746913e-06  2.57918106e-06 
 1.34497085e+01  2.71678122e-06  2.55037286e-06 
 1.37598551e+01  2.68644625e-06  2.52189596e-06 
 1.40771537e+01  2.65646027e-06  2.49374669e-06 
 1.44017690e+01  2.62681938e-06  2.46592136e-06 
 1.47338699e+01  2.59751973e-06  2.43841637e-06 
 1.50736290e+01  2.56855750e-06  2.41122813e-06 
 1.54212228e+01  2.53992893e-06  2.38435312e-06 
 1.57768320e+01  2.51163029e-06  2.35778784e-06 
 1.61406415e+01  2.48365792e-06  2.33152883e-06 
 1.65128404e+01  2.45600816e-06  2.30557267e-06 
 1.68936220e+01  2.42867742e-06  2.27991600e-06 
 1.72831844e+01  2.40166215e-06  2.25455547e-06 
 1.76817299e+01  2.37495883e-06  2.22948778e-06 
 1.80894658e+01  2.34856400e-06  2.20470968e-06 
 1.85066040e+01  2.32247421e-06  2.18021794e-06 
 1.89333613e+01  2.29668607e-06  2.15600938e-06 
 1.93699595e+01  2.27119623e-06  2.13208084e-06 
 1.98166255e+01  2.24600137e-06  2.10842922e-06 
 2.02735916e+01  2.22109821e-06  2.08505143e-06 
 2.07410951e+01  2.19648351e-06  2.06194443e-06 
 2.12193792e+01  2.17215407e-06  2.03910522e-06 
 2.17086923e+01  2.14810672e-06  2.01653082e-06 
 2.22092889e+01  2.12433834e-06  1.99421830e-06 
 2.27214291e+01  2.10084583e-06  1.97216475e-06 
 2.32453791e+01  2.07762612e-06  1.95036730e-06 
 2.37814113e+01  2.05467621e-06  1.92882312e-06 
 2.43298042e+01  2.03199309e-06  1.90752939e-06 
 2.48908429e+01  2.00957382e-06  1.88648335e-06 
 2.54648190e+01  1.98741548e-06  1.86568225e-06 
 2.60520309e+01  1.96551519e-06  1.84512339e-06 
 2.66527837e+01  1.94387008e-06  1.82480409e-06 
 2.72673897e+01  1.92247734e-06  1.80472170e-06 
 2.78961683e+01  1.90133418e-06  1.78487360e-06 
 2.85394464e+01  1.88043786e-06  1.76525722e-06 
 2.91975583e+01  1.85978564e-06  1.74586999e-06 
 2.98708461e+01  1.83937483e-06  1.72670939e-06 
 3.05596598e+01  1.81920278e-06  1.70777291e-06 
 3.12643573e+01  1.79926685e-06  1.68905810e-06 
 3.19853049e+01  1.77956445e-06  1.67056252e-06 
 3.27228774e+01  1.76009301e-06  1.65228374e-06 
 3.34774581e+01  1.74084999e-06  1.63421939e-06 
 3.42494392e+01  1.72183287e-06  1.61636711e-06 
 3.50392221e+01  1.70303918e-06  1.59872457e-06 
 3.58472171e+01  1.68446646e-06  1.58128947e-06 
 3.66738442e+01  1.66611230e-06  1.56405954e-06 
