Adc_ol_dB_arr,fcu_arr,CMRR_dc_dB_arr
3.107100000000000151e+01,5.073350000000000000e+05,4.359369999999999834e+01
3.108099999999999952e+01,5.077030000000000000e+05,4.349410000000000309e+01
3.107779999999999987e+01,5.067000000000000000e+05,4.343439999999999657e+01
3.104899999999999949e+01,5.090310000000000000e+05,4.336910000000000309e+01
3.102990000000000137e+01,5.099200000000000000e+05,4.345439999999999969e+01
3.104189999999999827e+01,5.093710000000000000e+05,4.347679999999999723e+01
3.108539999999999992e+01,5.068450000000000000e+05,4.354019999999999868e+01
3.106700000000000017e+01,5.062250000000000000e+05,4.344189999999999685e+01
3.104289999999999949e+01,5.079090000000000000e+05,4.339999999999999858e+01
3.105480000000000018e+01,5.077010000000000000e+05,4.336880000000000024e+01
3.106169999999999831e+01,5.085220000000000000e+05,4.350229999999999819e+01
3.103010000000000090e+01,5.094100000000000000e+05,4.344969999999999999e+01
3.105379999999999896e+01,5.084300000000000000e+05,4.344950000000000045e+01
3.107280000000000086e+01,5.079600000000000000e+05,4.347319999999999851e+01
3.106840000000000046e+01,5.081680000000000000e+05,4.342840000000000344e+01
3.104690000000000083e+01,5.084040000000000000e+05,4.345759999999999934e+01
3.105150000000000077e+01,5.082380000000000000e+05,4.334340000000000259e+01
3.106909999999999883e+01,5.074080000000000000e+05,4.349830000000000041e+01
3.105379999999999896e+01,5.080780000000000000e+05,4.343599999999999994e+01
3.107700000000000173e+01,5.066520000000000000e+05,4.335640000000000072e+01
3.102919999999999945e+01,5.102270000000000000e+05,4.344030000000000058e+01
3.105339999999999989e+01,5.076710000000000000e+05,4.335690000000000310e+01
3.104830000000000112e+01,5.083850000000000000e+05,4.343269999999999698e+01
3.107319999999999993e+01,5.074490000000000000e+05,4.342000000000000171e+01
3.106640000000000157e+01,5.070060000000000000e+05,4.342020000000000124e+01
3.109280000000000044e+01,5.064660000000000000e+05,4.344659999999999656e+01
3.106250000000000000e+01,5.082320000000000000e+05,4.340679999999999694e+01
3.105290000000000106e+01,5.079170000000000000e+05,4.348850000000000193e+01
3.105699999999999861e+01,5.072970000000000000e+05,4.344449999999999790e+01
3.107779999999999987e+01,5.074110000000000000e+05,4.345219999999999771e+01
3.102260000000000062e+01,5.095880000000000000e+05,4.340090000000000003e+01
3.105409999999999826e+01,5.083380000000000000e+05,4.345700000000000074e+01
3.101119999999999877e+01,5.095040000000000000e+05,4.353090000000000259e+01
3.106380000000000052e+01,5.083630000000000000e+05,4.342430000000000234e+01
3.105160000000000053e+01,5.070320000000000000e+05,4.348199999999999932e+01
3.106279999999999930e+01,5.070930000000000000e+05,4.347480000000000189e+01
3.105829999999999913e+01,5.084090000000000000e+05,4.337049999999999983e+01
3.106899999999999906e+01,5.068670000000000000e+05,4.348210000000000264e+01
3.105409999999999826e+01,5.068750000000000000e+05,4.341279999999999717e+01
3.105359999999999943e+01,5.074930000000000000e+05,4.342849999999999966e+01
3.104949999999999832e+01,5.088280000000000000e+05,4.341100000000000136e+01
3.106589999999999918e+01,5.078500000000000000e+05,4.344760000000000133e+01
3.105669999999999931e+01,5.077830000000000000e+05,4.344010000000000105e+01
3.106629999999999825e+01,5.083730000000000000e+05,4.342219999999999658e+01
3.107410000000000139e+01,5.076440000000000000e+05,4.349269999999999925e+01
3.105209999999999937e+01,5.083620000000000000e+05,4.336310000000000286e+01
3.108070000000000022e+01,5.075300000000000000e+05,4.348259999999999792e+01
3.108689999999999998e+01,5.068020000000000000e+05,4.341680000000000206e+01
3.103890000000000171e+01,5.087490000000000000e+05,4.346159999999999712e+01
3.107799999999999940e+01,5.074060000000000000e+05,4.347059999999999746e+01
3.106810000000000116e+01,5.081760000000000000e+05,4.341709999999999781e+01
3.105160000000000053e+01,5.088390000000000000e+05,4.339719999999999800e+01
3.108020000000000138e+01,5.069300000000000000e+05,4.344959999999999667e+01
3.109240000000000137e+01,5.066070000000000000e+05,4.339529999999999887e+01
3.106419999999999959e+01,5.079250000000000000e+05,4.352369999999999806e+01
3.106820000000000093e+01,5.068850000000000000e+05,4.335289999999999822e+01
3.105640000000000001e+01,5.090640000000000000e+05,4.355789999999999651e+01
3.106370000000000076e+01,5.073480000000000000e+05,4.342860000000000298e+01
3.106109999999999971e+01,5.074420000000000000e+05,4.346430000000000149e+01
3.107069999999999865e+01,5.074380000000000000e+05,4.348190000000000310e+01
3.105590000000000117e+01,5.074200000000000000e+05,4.344500000000000028e+01
3.106299999999999883e+01,5.067270000000000000e+05,4.348400000000000176e+01
3.108020000000000138e+01,5.058520000000000000e+05,4.351979999999999649e+01
3.107679999999999865e+01,5.062840000000000000e+05,4.352129999999999654e+01
3.106800000000000139e+01,5.086890000000000000e+05,4.349069999999999681e+01
3.107560000000000144e+01,5.072910000000000000e+05,4.345499999999999829e+01
3.105010000000000048e+01,5.080560000000000000e+05,4.346909999999999741e+01
3.107179999999999964e+01,5.077540000000000000e+05,4.338259999999999650e+01
3.105890000000000128e+01,5.073420000000000000e+05,4.341230000000000189e+01
3.106200000000000117e+01,5.085340000000000000e+05,4.337969999999999970e+01
3.107359999999999900e+01,5.074650000000000000e+05,4.346900000000000119e+01
3.105979999999999919e+01,5.082530000000000000e+05,4.349349999999999739e+01
3.108070000000000022e+01,5.071450000000000000e+05,4.344500000000000028e+01
3.105549999999999855e+01,5.072750000000000000e+05,4.345439999999999969e+01
3.102980000000000160e+01,5.083350000000000000e+05,4.341839999999999833e+01
3.102520000000000167e+01,5.098170000000000000e+05,4.338589999999999947e+01
3.106090000000000018e+01,5.088570000000000000e+05,4.345689999999999742e+01
3.106469999999999843e+01,5.077180000000000000e+05,4.340379999999999683e+01
3.107799999999999940e+01,5.076200000000000000e+05,4.347249999999999659e+01
3.107169999999999987e+01,5.079840000000000000e+05,4.345510000000000161e+01
3.107870000000000132e+01,5.082980000000000000e+05,4.349940000000000140e+01
3.106660000000000110e+01,5.062550000000000000e+05,4.346710000000000207e+01
3.107610000000000028e+01,5.066900000000000000e+05,4.343930000000000291e+01
3.106640000000000157e+01,5.072450000000000000e+05,4.347379999999999711e+01
3.105339999999999989e+01,5.086320000000000000e+05,4.347379999999999711e+01
3.104729999999999990e+01,5.083470000000000000e+05,4.341579999999999728e+01
3.106830000000000069e+01,5.078060000000000000e+05,4.345729999999999649e+01
3.105300000000000082e+01,5.086090000000000000e+05,4.335840000000000316e+01
3.106289999999999907e+01,5.082260000000000000e+05,4.344440000000000168e+01
3.107519999999999882e+01,5.065740000000000000e+05,4.339130000000000109e+01
3.106840000000000046e+01,5.072960000000000000e+05,4.342750000000000199e+01
3.106139999999999901e+01,5.084240000000000000e+05,4.345159999999999911e+01
3.107910000000000039e+01,5.073650000000000000e+05,4.341949999999999932e+01
3.104179999999999851e+01,5.084820000000000000e+05,4.344200000000000017e+01
3.103740000000000165e+01,5.081990000000000000e+05,4.339379999999999882e+01
3.105480000000000018e+01,5.081440000000000000e+05,4.343229999999999791e+01
3.106739999999999924e+01,5.082700000000000000e+05,4.349499999999999744e+01
3.107100000000000151e+01,5.065450000000000000e+05,4.347800000000000153e+01
3.106790000000000163e+01,5.067900000000000000e+05,4.349880000000000280e+01
3.107669999999999888e+01,5.079690000000000000e+05,4.352060000000000173e+01
3.107420000000000115e+01,5.080270000000000000e+05,4.340720000000000312e+01
3.107310000000000016e+01,5.065140000000000000e+05,4.346770000000000067e+01
3.103979999999999961e+01,5.085770000000000000e+05,4.340910000000000224e+01
3.106899999999999906e+01,5.083910000000000000e+05,4.345400000000000063e+01
3.107100000000000151e+01,5.082050000000000000e+05,4.348519999999999897e+01
3.107920000000000016e+01,5.080040000000000000e+05,4.348279999999999745e+01
3.107300000000000040e+01,5.080610000000000000e+05,4.342779999999999774e+01
3.106700000000000017e+01,5.075400000000000000e+05,4.346620000000000061e+01
3.105750000000000099e+01,5.081370000000000000e+05,4.344859999999999900e+01
3.109590000000000032e+01,5.053940000000000000e+05,4.343480000000000274e+01
3.105949999999999989e+01,5.076070000000000000e+05,4.341680000000000206e+01
3.107539999999999836e+01,5.073390000000000000e+05,4.342049999999999699e+01
3.106210000000000093e+01,5.073960000000000000e+05,4.343520000000000181e+01
3.107920000000000016e+01,5.079550000000000000e+05,4.343139999999999645e+01
3.105930000000000035e+01,5.079810000000000000e+05,4.343240000000000123e+01
3.105170000000000030e+01,5.078740000000000000e+05,4.341389999999999816e+01
3.105880000000000152e+01,5.070040000000000000e+05,4.341049999999999898e+01
3.105460000000000065e+01,5.077410000000000000e+05,4.341049999999999898e+01
3.107090000000000174e+01,5.075790000000000000e+05,4.340019999999999811e+01
3.107580000000000098e+01,5.066290000000000000e+05,4.347990000000000066e+01
3.105679999999999907e+01,5.082050000000000000e+05,4.347500000000000142e+01
3.106700000000000017e+01,5.080340000000000000e+05,4.347169999999999845e+01
3.105320000000000036e+01,5.077110000000000000e+05,4.344460000000000122e+01
3.105679999999999907e+01,5.079510000000000000e+05,4.340999999999999659e+01
3.105630000000000024e+01,5.079040000000000000e+05,4.345940000000000225e+01
3.105199999999999960e+01,5.089100000000000000e+05,4.340279999999999916e+01
3.107179999999999964e+01,5.074430000000000000e+05,4.337189999999999657e+01
3.104799999999999827e+01,5.091580000000000000e+05,4.337349999999999994e+01
3.108149999999999835e+01,5.075310000000000000e+05,4.345819999999999794e+01
3.105679999999999907e+01,5.082920000000000000e+05,4.339710000000000178e+01
3.107329999999999970e+01,5.071600000000000000e+05,4.344369999999999976e+01
3.106929999999999836e+01,5.077480000000000000e+05,4.349839999999999662e+01
3.107539999999999836e+01,5.070940000000000000e+05,4.350489999999999924e+01
3.106390000000000029e+01,5.076640000000000000e+05,4.350419999999999732e+01
3.105829999999999913e+01,5.081540000000000000e+05,4.343750000000000000e+01
3.107700000000000173e+01,5.070430000000000000e+05,4.346430000000000149e+01
3.106929999999999836e+01,5.069980000000000000e+05,4.339529999999999887e+01
3.105699999999999861e+01,5.082140000000000000e+05,4.338819999999999766e+01
3.106409999999999982e+01,5.079310000000000000e+05,4.344500000000000028e+01
3.109359999999999857e+01,5.052040000000000000e+05,4.351279999999999859e+01
3.105489999999999995e+01,5.083610000000000000e+05,4.346679999999999922e+01
3.105610000000000070e+01,5.072540000000000000e+05,4.346370000000000289e+01
3.107829999999999870e+01,5.079230000000000000e+05,4.349860000000000326e+01
3.106449999999999889e+01,5.079320000000000000e+05,4.352289999999999992e+01
3.105770000000000053e+01,5.080240000000000000e+05,4.342490000000000094e+01
3.106490000000000151e+01,5.085720000000000000e+05,4.342699999999999960e+01
3.105910000000000082e+01,5.066530000000000000e+05,4.336449999999999960e+01
3.106060000000000088e+01,5.084110000000000000e+05,4.339309999999999690e+01
3.108490000000000109e+01,5.073120000000000000e+05,4.351359999999999673e+01
3.106879999999999953e+01,5.078880000000000000e+05,4.341449999999999676e+01
3.105219999999999914e+01,5.093900000000000000e+05,4.344700000000000273e+01
3.106879999999999953e+01,5.071170000000000000e+05,4.342060000000000031e+01
3.105730000000000146e+01,5.077170000000000000e+05,4.352980000000000160e+01
3.105349999999999966e+01,5.092320000000000000e+05,4.349199999999999733e+01
3.105260000000000176e+01,5.096710000000000000e+05,4.346070000000000277e+01
