Adc_cl_dB_arr,fcu_arr,CMRR_dc_dB_arr
-2.685150000000000037e-01,4.377760000000000000e+05,1.560149999999999970e+01
-2.686580000000000079e-01,4.347300000000000000e+05,1.562240000000000073e+01
-2.681799999999999740e-01,4.380280000000000000e+05,1.565820000000000078e+01
-2.682419999999999805e-01,4.382300000000000000e+05,1.555949999999999989e+01
-2.690899999999999959e-01,4.386490000000000000e+05,1.568539999999999957e+01
-2.675350000000000228e-01,4.372160000000000000e+05,1.561170000000000080e+01
-2.693599999999999883e-01,4.380190000000000000e+05,1.564010000000000034e+01
-2.686359999999999859e-01,4.426160000000000000e+05,1.556600000000000072e+01
-2.682430000000000092e-01,4.356790000000000000e+05,1.566929999999999978e+01
-2.678490000000000038e-01,4.381480000000000000e+05,1.562720000000000020e+01
-2.696620000000000128e-01,4.370210000000000000e+05,1.565600000000000058e+01
-2.669739999999999891e-01,4.382100000000000000e+05,1.557380000000000031e+01
-2.674110000000000098e-01,4.393820000000000000e+05,1.572010000000000041e+01
-2.686609999999999832e-01,4.361780000000000000e+05,1.564349999999999952e+01
-2.686760000000000259e-01,4.371400000000000000e+05,1.563160000000000061e+01
-2.684799999999999964e-01,4.334850000000000000e+05,1.562170000000000059e+01
-2.692430000000000101e-01,4.374540000000000000e+05,1.565429999999999922e+01
-2.686310000000000087e-01,4.388440000000000000e+05,1.561739999999999995e+01
-2.678710000000000258e-01,4.355460000000000000e+05,1.569480000000000075e+01
-2.690770000000000106e-01,4.389880000000000000e+05,1.573879999999999946e+01
-2.681439999999999935e-01,4.370540000000000000e+05,1.575689999999999991e+01
-2.677289999999999948e-01,4.397880000000000000e+05,1.561989999999999945e+01
-2.684949999999999837e-01,4.377190000000000000e+05,1.567379999999999995e+01
-2.668550000000000089e-01,4.323320000000000000e+05,1.563310000000000066e+01
-2.690839999999999899e-01,4.385950000000000000e+05,1.568500000000000050e+01
-2.678670000000000218e-01,4.354460000000000000e+05,1.561299999999999955e+01
-2.682789999999999897e-01,4.420690000000000000e+05,1.557939999999999969e+01
-2.687620000000000009e-01,4.374120000000000000e+05,1.573830000000000062e+01
-2.690299999999999914e-01,4.368790000000000000e+05,1.559200000000000053e+01
-2.696459999999999968e-01,4.349190000000000000e+05,1.564269999999999960e+01
-2.676040000000000085e-01,4.350340000000000000e+05,1.560749999999999993e+01
-2.688840000000000119e-01,4.364050000000000000e+05,1.572480000000000011e+01
-2.691339999999999844e-01,4.329980000000000000e+05,1.574699999999999989e+01
-2.676629999999999843e-01,4.323090000000000000e+05,1.572320000000000029e+01
-2.686029999999999807e-01,4.365490000000000000e+05,1.572070000000000078e+01
-2.674469999999999903e-01,4.375360000000000000e+05,1.566559999999999953e+01
-2.681140000000000190e-01,4.422250000000000000e+05,1.564729999999999954e+01
-2.686740000000000239e-01,4.357780000000000000e+05,1.562650000000000006e+01
-2.688570000000000126e-01,4.357920000000000000e+05,1.567939999999999934e+01
-2.680739999999999790e-01,4.369710000000000000e+05,1.561609999999999943e+01
-2.682869999999999977e-01,4.379140000000000000e+05,1.568900000000000006e+01
-2.679170000000000162e-01,4.358300000000000000e+05,1.571589999999999954e+01
-2.679449999999999887e-01,4.399970000000000000e+05,1.566830000000000034e+01
-2.671439999999999926e-01,4.368480000000000000e+05,1.567590000000000039e+01
-2.676999999999999935e-01,4.362190000000000000e+05,1.555419999999999980e+01
-2.688189999999999746e-01,4.361920000000000000e+05,1.568299999999999983e+01
-2.688889999999999891e-01,4.341240000000000000e+05,1.570180000000000042e+01
-2.684909999999999797e-01,4.318200000000000000e+05,1.561550000000000082e+01
-2.686120000000000174e-01,4.323390000000000000e+05,1.559730000000000061e+01
