time,vinp,vinn,voutp,voutn,vout
8.002289140000000439e-06,-0.000000000000000000e+00,1.451999980000000079e+00,9.233333769999999552e-01,5.805554539999999708e-01,3.427779229999999844e-01
8.002307139999999665e-06,-0.000000000000000000e+00,1.425000000000000044e+00,9.233287489999999487e-01,5.805594069999999718e-01,3.427693419999999769e-01
8.002310799999999812e-06,5.485716479999999673e-03,1.419514280000000017e+00,9.233278099999999711e-01,5.805602119999999644e-01,3.427675980000000067e-01
8.002318110000000283e-06,1.645714939999999918e-02,1.408542849999999902e+00,9.233259289999999897e-01,5.805618179999999517e-01,3.427641109999999824e-01
8.002332739999999355e-06,3.840001540000000102e-02,1.386599979999999954e+00,9.233221679999999987e-01,5.805650310000000092e-01,3.427571369999999895e-01
8.002361999999999193e-06,8.228574719999999509e-02,1.342714249999999998e+00,9.233146450000000449e-01,5.805714560000000413e-01,3.427431890000000037e-01
8.002420510000000738e-06,1.700572110000000137e-01,1.254942790000000086e+00,9.232995980000000547e-01,5.805843069999999662e-01,3.427152909999999775e-01
8.002537540000000265e-06,3.456001380000000012e-01,1.079399860000000100e+00,9.232695039999999631e-01,5.806100100000000097e-01,3.426594940000000089e-01
8.002771599999999319e-06,6.966859930000000034e-01,7.283140070000000410e-01,9.232093089999999780e-01,5.806614180000000403e-01,3.425478920000000205e-01
8.003055270000000243e-06,1.122188659999999949e+00,3.028113370000000137e-01,9.231363460000000520e-01,5.807237259999999957e-01,3.424126189999999736e-01
8.003277010000000346e-06,1.454802020000000029e+00,-0.000000000000000000e+00,9.230793019999999904e-01,5.807724349999999758e-01,3.423068659999999874e-01
8.003431529999999284e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.230395460000000440e-01,5.808063780000000120e-01,3.422331679999999765e-01
8.003613810000000664e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.229926450000000004e-01,5.808464209999999461e-01,3.421462239999999988e-01
8.003779729999999451e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.229499479999999645e-01,5.808828729999999663e-01,3.420670749999999982e-01
8.004068900000000422e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.228755309999999712e-01,5.809464030000000001e-01,3.419291280000000266e-01
8.004457860000000215e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.227754270000000369e-01,5.810318719999999493e-01,3.417435549999999767e-01
8.004970270000000377e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.226435549999999486e-01,5.811445079999999486e-01,3.414990470000000000e-01
8.005751370000000063e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.224425760000000141e-01,5.813163099999999472e-01,3.411262669999999830e-01
8.007125789999999704e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.220889749999999774e-01,5.816187999999999914e-01,3.404701749999999860e-01
8.008938569999999612e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.216224119999999465e-01,5.820177939999999772e-01,3.396046189999999965e-01
8.008939570000000698e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.216221549999999985e-01,5.820180139999999724e-01,3.396041410000000260e-01
8.008941569999999483e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.216216400000000197e-01,5.820184539999999629e-01,3.396031860000000013e-01
8.008945570000000440e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.216206099999999513e-01,5.820193350000000265e-01,3.396012760000000075e-01
8.008948570000000311e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.216198380000000245e-01,5.820199950000000122e-01,3.395998430000000123e-01
8.008949369999999825e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.216196319999999664e-01,5.820201710000000306e-01,3.395994609999999914e-01
8.008950970000000547e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.216192199999999612e-01,5.820205229999999563e-01,3.395986970000000049e-01
8.008954170000000296e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.216183970000000336e-01,5.820212280000000016e-01,3.395971689999999765e-01
8.008960569999999795e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.216167490000000129e-01,5.820226360000000376e-01,3.395941129999999752e-01
8.008973370000000488e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.216134540000000541e-01,5.820254540000000532e-01,3.395880000000000010e-01
8.008998970000000178e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.216068630000000539e-01,5.820310890000000015e-01,3.395757750000000241e-01
8.009050169999999558e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.215936820000000251e-01,5.820423580000000374e-01,3.395513239999999877e-01
8.009152570000000013e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.215673180000000242e-01,5.820648959999999983e-01,3.395024229999999976e-01
8.009357369999999229e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.215145860000000244e-01,5.821099680000000332e-01,3.394046179999999913e-01
8.009766969999999355e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.214091079999999767e-01,5.822001049999999678e-01,3.392090039999999806e-01
8.010586169999999606e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.211981219999999526e-01,5.823803680000000371e-01,3.388177540000000265e-01
8.010745569999999305e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.211570650000000526e-01,5.824154440000000044e-01,3.387416209999999928e-01
8.010795569999999414e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.211441860000000315e-01,5.824264460000000421e-01,3.387177399999999894e-01
8.010811959999999788e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.211399660000000322e-01,5.824300519999999759e-01,3.387099149999999725e-01
8.010844719999999194e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.211315260000000338e-01,5.824372620000000111e-01,3.386942640000000226e-01
8.010910259999999347e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.211146460000000369e-01,5.824516840000000251e-01,3.386629620000000118e-01
8.011041329999999829e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.210808849999999603e-01,5.824805269999999702e-01,3.386003579999999902e-01
8.011303480000000617e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.210133660000000555e-01,5.825382180000000520e-01,3.384751480000000035e-01
