Adc_ol_dB_arr,fcu_arr,CMRR_dc_dB_arr
2.718519999999999825e+01,4.213860000000000000e+06,6.394830000000000325e+01
2.745629999999999882e+01,4.106970000000000000e+06,6.350150000000000006e+01
2.765139999999999887e+01,3.849550000000000000e+06,8.395839999999999748e+01
2.757730000000000103e+01,3.969620000000000000e+06,5.684479999999999933e+01
2.672230000000000061e+01,4.532680000000000000e+06,5.929630000000000223e+01
2.757610000000000028e+01,3.843620000000000000e+06,7.293449999999999989e+01
2.805559999999999832e+01,3.496970000000000000e+06,6.934449999999999648e+01
2.694999999999999929e+01,4.412480000000000000e+06,6.810949999999999704e+01
2.711880000000000024e+01,4.166180000000000000e+06,6.775310000000000343e+01
2.768420000000000059e+01,3.745990000000000000e+06,8.074840000000000373e+01
2.702139999999999986e+01,4.310090000000000000e+06,7.086010000000000275e+01
2.725090000000000146e+01,4.082700000000000000e+06,6.966020000000000323e+01
2.765980000000000061e+01,3.821920000000000000e+06,7.697950000000000159e+01
2.711659999999999826e+01,4.457940000000000000e+06,5.939350000000000307e+01
2.716740000000000066e+01,4.365030000000000000e+06,6.053909999999999769e+01
2.701079999999999970e+01,4.236160000000000000e+06,6.290939999999999799e+01
2.735760000000000147e+01,3.962830000000000000e+06,8.046399999999999864e+01
2.808190000000000097e+01,3.522830000000000000e+06,6.628000000000000114e+01
2.765930000000000177e+01,3.868880000000000000e+06,7.096189999999999998e+01
2.685429999999999851e+01,4.481580000000000000e+06,6.050039999999999907e+01
2.747109999999999985e+01,4.082940000000000000e+06,6.296099999999999852e+01
2.727599999999999980e+01,4.197440000000000000e+06,6.338620000000000232e+01
2.772469999999999857e+01,3.808000000000000000e+06,6.603019999999999357e+01
2.765099999999999980e+01,3.789160000000000000e+06,7.686530000000000484e+01
2.720250000000000057e+01,4.289710000000000000e+06,6.091029999999999944e+01
2.660709999999999908e+01,4.677850000000000000e+06,6.391100000000000136e+01
2.691649999999999920e+01,4.595370000000000000e+06,6.040630000000000166e+01
2.697500000000000142e+01,4.451900000000000000e+06,6.348460000000000036e+01
2.756380000000000052e+01,3.890940000000000000e+06,6.740519999999999357e+01
2.783749999999999858e+01,3.687810000000000000e+06,7.086039999999999850e+01
2.758879999999999910e+01,3.771280000000000000e+06,6.987890000000000157e+01
2.778160000000000096e+01,3.758180000000000000e+06,6.177729999999999677e+01
2.701350000000000051e+01,4.338680000000000000e+06,6.317269999999999897e+01
2.784430000000000049e+01,3.676040000000000000e+06,7.013280000000000314e+01
2.679169999999999874e+01,4.496470000000000000e+06,6.156159999999999854e+01
2.785490000000000066e+01,3.677550000000000000e+06,7.379309999999999548e+01
2.753699999999999903e+01,3.934920000000000000e+06,6.411979999999999791e+01
2.713289999999999935e+01,4.277700000000000000e+06,6.621399999999999864e+01
2.753450000000000131e+01,3.853090000000000000e+06,7.711450000000000671e+01
2.762269999999999825e+01,3.866260000000000000e+06,6.450809999999999889e+01
2.777929999999999922e+01,3.808070000000000000e+06,6.199960000000000093e+01
2.746450000000000102e+01,3.990260000000000000e+06,7.606910000000000593e+01
2.639549999999999841e+01,4.843920000000000000e+06,5.949960000000000093e+01
2.733439999999999870e+01,4.210390000000000000e+06,6.718160000000000309e+01
2.693969999999999843e+01,4.454600000000000000e+06,6.401390000000000668e+01
2.759240000000000137e+01,3.773140000000000000e+06,7.752719999999999345e+01
2.709979999999999833e+01,4.260170000000000000e+06,7.268550000000000466e+01
2.762829999999999941e+01,3.923110000000000000e+06,6.131479999999999819e+01
2.732029999999999959e+01,4.239410000000000000e+06,6.374230000000000018e+01
2.758970000000000056e+01,3.920920000000000000e+06,6.106139999999999901e+01
2.780940000000000012e+01,3.705960000000000000e+06,6.047930000000000206e+01
2.692259999999999920e+01,4.510000000000000000e+06,6.591259999999999764e+01
2.752680000000000149e+01,3.953090000000000000e+06,7.127060000000000173e+01
2.745429999999999993e+01,3.987950000000000000e+06,7.175079999999999814e+01
2.759779999999999944e+01,3.893160000000000000e+06,6.535169999999999391e+01
2.750890000000000057e+01,3.878200000000000000e+06,8.127589999999999293e+01
2.808230000000000004e+01,3.576050000000000000e+06,6.722459999999999525e+01
2.559530000000000172e+01,5.373380000000000000e+06,5.646050000000000324e+01
2.800570000000000093e+01,3.553420000000000000e+06,7.273390000000000555e+01
2.792520000000000024e+01,3.520010000000000000e+06,7.239660000000000650e+01
2.776170000000000115e+01,3.807050000000000000e+06,7.336740000000000350e+01
2.762709999999999866e+01,3.915710000000000000e+06,7.761990000000000123e+01
2.757069999999999865e+01,3.881190000000000000e+06,7.526720000000000255e+01
2.783650000000000091e+01,3.699100000000000000e+06,6.577540000000000475e+01
2.744050000000000011e+01,3.976430000000000000e+06,8.193399999999999750e+01
2.660480000000000089e+01,4.646270000000000000e+06,6.031309999999999860e+01
2.791039999999999921e+01,3.602290000000000000e+06,7.704550000000000409e+01
2.707610000000000028e+01,4.309950000000000000e+06,6.441469999999999629e+01
2.767070000000000007e+01,3.728210000000000000e+06,7.189159999999999684e+01
2.791000000000000014e+01,3.555790000000000000e+06,6.697090000000000032e+01
2.642170000000000130e+01,4.527720000000000000e+06,5.757370000000000232e+01
2.769750000000000156e+01,3.892230000000000000e+06,6.953749999999999432e+01
2.719379999999999953e+01,4.195160000000000000e+06,6.791549999999999443e+01
2.734319999999999951e+01,4.145430000000000000e+06,6.532689999999999486e+01
2.755049999999999955e+01,3.973300000000000000e+06,6.391479999999999961e+01
2.749210000000000065e+01,4.017470000000000000e+06,6.699689999999999657e+01
2.732890000000000086e+01,4.078880000000000000e+06,6.628300000000000125e+01
2.734359999999999857e+01,4.027120000000000000e+06,7.904869999999999663e+01
2.732450000000000045e+01,4.199230000000000000e+06,6.679269999999999641e+01
2.725300000000000011e+01,4.245950000000000000e+06,6.020889999999999986e+01
2.743590000000000018e+01,4.060530000000000000e+06,6.271880000000000166e+01
2.759009999999999962e+01,3.991610000000000000e+06,6.987550000000000239e+01
2.779690000000000083e+01,3.682060000000000000e+06,6.986140000000000327e+01
2.784479999999999933e+01,3.581370000000000000e+06,6.340979999999999706e+01
2.782570000000000121e+01,3.768250000000000000e+06,7.141649999999999920e+01
2.741390000000000171e+01,4.111740000000000000e+06,6.185020000000000095e+01
2.749050000000000082e+01,4.023630000000000000e+06,6.429590000000000316e+01
2.804269999999999996e+01,3.505890000000000000e+06,7.541429999999999723e+01
2.805349999999999966e+01,3.529460000000000000e+06,6.678530000000000655e+01
2.725870000000000104e+01,4.247870000000000000e+06,6.061149999999999949e+01
2.746869999999999834e+01,4.029310000000000000e+06,7.138800000000000523e+01
2.731510000000000105e+01,4.013250000000000000e+06,7.225730000000000075e+01
2.714099999999999824e+01,4.186090000000000000e+06,6.585120000000000573e+01
2.757219999999999871e+01,3.842510000000000000e+06,7.066710000000000491e+01
2.744709999999999894e+01,3.907860000000000000e+06,6.650920000000000698e+01
2.647830000000000084e+01,4.643000000000000000e+06,6.040690000000000026e+01
2.738789999999999836e+01,4.066700000000000000e+06,6.847759999999999536e+01
2.681769999999999854e+01,4.546540000000000000e+06,6.051359999999999673e+01
2.735770000000000124e+01,4.048680000000000000e+06,8.558029999999999404e+01
2.725300000000000011e+01,4.294820000000000000e+06,6.236099999999999710e+01
2.771239999999999881e+01,3.698420000000000000e+06,6.520499999999999829e+01
2.735239999999999938e+01,3.966290000000000000e+06,7.026630000000000109e+01
2.700290000000000035e+01,4.511550000000000000e+06,5.977689999999999770e+01
2.743080000000000140e+01,3.951130000000000000e+06,7.057569999999999766e+01
2.738459999999999894e+01,4.020410000000000000e+06,1.005570000000000022e+02
2.715800000000000125e+01,4.160210000000000000e+06,6.699979999999999336e+01
2.783739999999999881e+01,3.740240000000000000e+06,6.539409999999999457e+01
2.684799999999999898e+01,4.384750000000000000e+06,6.198029999999999973e+01
2.734629999999999939e+01,4.081030000000000000e+06,7.161830000000000496e+01
