frequency,mag_dB,phase_deg
2.648500138606700194e+00,-4.999999999999998890e-01,-7.587393999154313107e-04
2.703958364108843160e+00,-5.000000000000008882e-01,-7.746270112185747432e-04
2.760577856220344906e+00,-4.999999999999998890e-01,-7.908473008997700653e-04
2.818382931264454161e+00,-4.999999999999998890e-01,-8.074072350724947845e-04
2.877398414735668819e+00,-4.999999999999998890e-01,-8.243139257170467669e-04
2.937649651961530495e+00,-5.000000000000019984e-01,-8.415746337349195661e-04
2.999162518987650738e+00,-4.999999999999998890e-01,-8.591967720671355975e-04
3.061963433690677139e+00,-4.999999999999998890e-01,-8.771879088778747379e-04
3.126079367123954622e+00,-5.000000000000019984e-01,-8.955557708047663960e-04
3.191537855100761600e+00,-4.999999999999998890e-01,-9.143082462772455198e-04
3.258367010020088106e+00,-4.999999999999998890e-01,-9.334533889043846030e-04
3.326595532940044286e+00,-4.999999999999998890e-01,-9.529994209336725220e-04
3.396252725904083114e+00,-4.999999999999998890e-01,-9.729547367822159081e-04
3.467368504525315753e+00,-5.000000000000019984e-01,-9.933279066418824587e-04
3.539973410834346357e+00,-4.999999999999998890e-01,-1.014127680159931716e-03
3.614098626396132108e+00,-4.999999999999998890e-01,-1.035362990196719716e-03
3.689775985701502670e+00,-4.999999999999998890e-01,-1.057042956662087229e-03
3.767037989839088219e+00,-4.999999999999998890e-01,-1.079176890432078382e-03
3.845917820453535363e+00,-4.999999999999998890e-01,-1.101774297347674720e-03
3.926449353995998592e+00,-4.999999999999998890e-01,-1.124844882297260703e-03
4.008667176273028154e+00,-5.000000000000019984e-01,-1.148398553384571801e-03
4.092606597300108895e+00,-4.999999999999998890e-01,-1.172445426183921962e-03
4.178303666466217869e+00,-4.999999999999998890e-01,-1.196995828084527775e-03
4.265795188015927053e+00,-5.000000000000019984e-01,-1.222060302725805217e-03
4.355118736855684958e+00,-5.000000000000019984e-01,-1.247649614525534823e-03
4.446312674691085931e+00,-4.999999999999998890e-01,-1.273774753302850306e-03
4.539416166502030947e+00,-5.000000000000019984e-01,-1.300446938998023024e-03
4.634469197362879100e+00,-4.999999999999998890e-01,-1.327677626491080565e-03
4.731512589614804476e+00,-4.999999999999998890e-01,-1.355478510521324889e-03
4.830588020397725835e+00,-4.999999999999998890e-01,-1.383861530709861809e-03
4.931738039549357744e+00,-4.999999999999998890e-01,-1.412838876687299173e-03
5.035006087879047243e+00,-5.000000000000019984e-01,-1.442422993328816398e-03
5.140436515824259978e+00,-4.999999999999998890e-01,-1.472626586098853578e-03
5.248074602497725394e+00,-4.999999999999998890e-01,-1.503462626507718431e-03
5.357966575133415787e+00,-4.999999999999998890e-01,-1.534944357682446270e-03
5.470159628939716079e+00,-4.999999999999998890e-01,-1.567085300054316208e-03
5.584701947368308161e+00,-5.000000000000019984e-01,-1.599899257165458746e-03
5.701642722807473973e+00,-4.999999999999998890e-01,-1.633400321597049034e-03
5.821032177708712396e+00,-4.999999999999998890e-01,-1.667602881021639557e-03
5.942921586155724967e+00,-4.999999999999998890e-01,-1.702521624382215227e-03
6.067363295885052743e+00,-4.999999999999998890e-01,-1.738171548200645846e-03
6.194410750767812779e+00,-4.999999999999998890e-01,-1.774567963018225392e-03
6.324118513762193139e+00,-4.999999999999998890e-01,-1.811726499971080860e-03
6.456542290346554580e+00,-4.999999999999998890e-01,-1.849663117503258514e-03
6.591738952443212618e+00,-4.999999999999998890e-01,-1.888394108220384096e-03
6.729766562843177091e+00,-5.000000000000019984e-01,-1.927936105886836728e-03
6.870684400142320847e+00,-5.000000000000019984e-01,-1.968306092569431249e-03
7.014552984199712959e+00,-4.999999999999998890e-01,-2.009521405930698133e-03
7.161434102129019763e+00,-4.999999999999998890e-01,-2.051599746674867639e-03
7.311390834834172736e+00,-4.999999999999998890e-01,-2.094559186149781097e-03
7.464487584100662154e+00,-4.999999999999998890e-01,-2.138418174107975002e-03
7.620790100254117405e+00,-4.999999999999998890e-01,-2.183195546630277255e-03
7.780365510398038253e+00,-4.999999999999998890e-01,-2.228910534215327970e-03
7.943282347242814012e+00,-4.999999999999998890e-01,-2.275582770038478246e-03
8.109610578538406500e+00,-4.999999999999998890e-01,-2.323232298383637838e-03
8.279421637123340005e+00,-5.000000000000019984e-01,-2.371879583251673869e-03
8.452788451602897268e+00,-5.000000000000019984e-01,-2.421545517149068568e-03
8.629785477669701166e+00,-4.999999999999998890e-01,-2.472251430060603845e-03
8.810488730080139774e+00,-4.999999999999998890e-01,-2.524019098609932028e-03
8.994975815300351840e+00,-4.999999999999998890e-01,-2.576870755411964520e-03
9.183325964835807653e+00,-5.000000000000019984e-01,-2.630829098621093390e-03
9.375620069258802758e+00,-4.999999999999998890e-01,-2.685917301679345906e-03
9.571940712948441288e+00,-4.999999999999998890e-01,-2.742159023268660525e-03
9.772372209558104927e+00,-4.999999999999998890e-01,-2.799578417471569516e-03
9.977000638225531404e+00,-4.999999999999998890e-01,-2.858200144144619828e-03
1.018591388054116997e+01,-5.000000000000019984e-01,-2.918049379509029054e-03
1.039920165829058973e+01,-4.999999999999998890e-01,-2.979151826963088480e-03
1.061695557198724593e+01,-5.000000000000019984e-01,-3.041533728120986158e-03
1.083926914021203380e+01,-4.999999999999998890e-01,-3.105221874082763657e-03
1.106623783977665809e+01,-4.999999999999998890e-01,-3.170243616940268943e-03
1.129795914672797608e+01,-5.000000000000019984e-01,-3.236626881524038487e-03
1.153453257821091960e+01,-5.000000000000019984e-01,-3.304400177396141919e-03
1.177605973520807225e+01,-4.999999999999998890e-01,-3.373592611094169535e-03
1.202264434617412370e+01,-5.000000000000019984e-01,-3.444233898631578975e-03
1.227439231158407118e+01,-4.999999999999998890e-01,-3.516354378259819481e-03
1.253141174941415592e+01,-5.000000000000019984e-01,-3.589985023497661680e-03
1.279381304157524646e+01,-4.999999999999998890e-01,-3.665157456433377689e-03
1.306170888131841146e+01,-4.999999999999998890e-01,-3.741903961305444084e-03
1.333521432163323972e+01,-4.999999999999998890e-01,-3.820257498367634133e-03
1.361444682465949718e+01,-4.999999999999998890e-01,-3.900251718044417306e-03
1.389952631213353307e+01,-5.000000000000008882e-01,-3.981920975382794402e-03
1.419057521689091672e+01,-4.999999999999998890e-01,-4.065300344806710951e-03
1.448771853544761079e+01,-4.999999999999998890e-01,-4.150425635180457831e-03
1.479108388168207178e+01,-4.999999999999998890e-01,-4.237333405187462820e-03
1.510080154164147714e+01,-5.000000000000019984e-01,-4.326060979031111885e-03
1.541700452949559264e+01,-4.999999999999998890e-01,-4.416646462464361711e-03
1.573982864466218778e+01,-4.999999999999998890e-01,-4.509128759154958782e-03
