 frequency       v(Amag_dB)      v(Aarg)        
 1.02305973e+01 -4.51838356e-01 -2.80305437e-03 
 1.04665121e+01 -4.51838356e-01 -2.86769204e-03 
 1.07078670e+01 -4.51838356e-01 -2.93382025e-03 
 1.09547876e+01 -4.51838356e-01 -3.00147335e-03 
 1.12074020e+01 -4.51838356e-01 -3.07068651e-03 
 1.14658417e+01 -4.51838356e-01 -3.14149571e-03 
 1.17302409e+01 -4.51838356e-01 -3.21393776e-03 
 1.20007371e+01 -4.51838356e-01 -3.28805029e-03 
 1.22774708e+01 -4.51838356e-01 -3.36387185e-03 
 1.25605860e+01 -4.51838356e-01 -3.44144182e-03 
 1.28502297e+01 -4.51838356e-01 -3.52080054e-03 
 1.31465525e+01 -4.51838356e-01 -3.60198925e-03 
 1.34497085e+01 -4.51838356e-01 -3.68505015e-03 
 1.37598551e+01 -4.51838356e-01 -3.77002641e-03 
 1.40771537e+01 -4.51838356e-01 -3.85696220e-03 
 1.44017690e+01 -4.51838356e-01 -3.94590271e-03 
 1.47338699e+01 -4.51838356e-01 -4.03689416e-03 
 1.50736290e+01 -4.51838356e-01 -4.12998385e-03 
 1.54212228e+01 -4.51838356e-01 -4.22522016e-03 
 1.57768320e+01 -4.51838356e-01 -4.32265259e-03 
 1.61406415e+01 -4.51838356e-01 -4.42233179e-03 
 1.65128404e+01 -4.51838356e-01 -4.52430957e-03 
 1.68936220e+01 -4.51838356e-01 -4.62863893e-03 
 1.72831844e+01 -4.51838357e-01 -4.73537409e-03 
 1.76817299e+01 -4.51838357e-01 -4.84457054e-03 
 1.80894658e+01 -4.51838357e-01 -4.95628503e-03 
 1.85066040e+01 -4.51838357e-01 -5.07057562e-03 
 1.89333613e+01 -4.51838357e-01 -5.18750172e-03 
 1.93699595e+01 -4.51838357e-01 -5.30712411e-03 
 1.98166255e+01 -4.51838357e-01 -5.42950496e-03 
 2.02735916e+01 -4.51838357e-01 -5.55470788e-03 
 2.07410951e+01 -4.51838357e-01 -5.68279794e-03 
 2.12193792e+01 -4.51838357e-01 -5.81384173e-03 
 2.17086923e+01 -4.51838357e-01 -5.94790735e-03 
 2.22092889e+01 -4.51838357e-01 -6.08506448e-03 
 2.27214291e+01 -4.51838357e-01 -6.22538443e-03 
 2.32453791e+01 -4.51838357e-01 -6.36894011e-03 
 2.37814113e+01 -4.51838357e-01 -6.51580615e-03 
 2.43298042e+01 -4.51838357e-01 -6.66605888e-03 
 2.48908429e+01 -4.51838357e-01 -6.81977640e-03 
 2.54648190e+01 -4.51838357e-01 -6.97703860e-03 
 2.60520309e+01 -4.51838357e-01 -7.13792722e-03 
 2.66527837e+01 -4.51838358e-01 -7.30252590e-03 
 2.72673897e+01 -4.51838358e-01 -7.47092017e-03 
 2.78961683e+01 -4.51838358e-01 -7.64319757e-03 
 2.85394464e+01 -4.51838358e-01 -7.81944764e-03 
 2.91975583e+01 -4.51838358e-01 -7.99976200e-03 
 2.98708461e+01 -4.51838358e-01 -8.18423435e-03 
 3.05596598e+01 -4.51838358e-01 -8.37296058e-03 
 3.12643573e+01 -4.51838358e-01 -8.56603879e-03 
 3.19853049e+01 -4.51838358e-01 -8.76356933e-03 
 3.27228774e+01 -4.51838358e-01 -8.96565487e-03 
 3.34774581e+01 -4.51838359e-01 -9.17240045e-03 
 3.42494392e+01 -4.51838359e-01 -9.38391353e-03 
 3.50392221e+01 -4.51838359e-01 -9.60030404e-03 
 3.58472171e+01 -4.51838359e-01 -9.82168446e-03 
 3.66738442e+01 -4.51838359e-01 -1.00481699e-02 
 3.75195331e+01 -4.51838359e-01 -1.02798779e-02 
 3.83847234e+01 -4.51838359e-01 -1.05169291e-02 
 3.92698648e+01 -4.51838360e-01 -1.07594467e-02 
 4.01754173e+01 -4.51838360e-01 -1.10075566e-02 
 4.11018515e+01 -4.51838360e-01 -1.12613879e-02 
 4.20496491e+01 -4.51838360e-01 -1.15210725e-02 
 4.30193027e+01 -4.51838360e-01 -1.17867453e-02 
 4.40113162e+01 -4.51838361e-01 -1.20585445e-02 
